Title,DOI,Relevant_methods,Relevant_simulation,Review_paper,Notes
Propensity score balance measures in pharmacoepidemiology: a simulation study,10.1002/pds.3574,,,,
On the role of marginal confounder prevalence - implications for the high-dimensional propensity score algorithm,10.1002/pds.3773,,,,
Addressing unmeasured confounding in comparative observational research,10.1002/pds.4394,,,,
A comparison of confounder selection and adjustment methods for estimating causal effects using large healthcare databases,10.1002/pds.5403,,,,
Machine learning for improving high-dimensional proxy confounder adjustment in healthcare database studies: An overview of the current literature,10.1002/pds.5500,,,,
Controlling for confounding via propensity score methods can result in biased estimation of the conditional AUC: A simulation study,10.1002/pst.1948,,,,
On kernel machine learning for propensity score estimation under complex confounding structures,10.1002/pst.2105,,,,
Opportunities for minimization of confounding in observational research,10.1002/pst.528,,,,
Consequences of exposure measurement error for confounder identification in environmental epidemiology,10.1002/sim.1541,,,,
Improved estimation of controlled direct effects in the presence of unmeasured confounding of intermediate variables,10.1002/sim.2057,,,,
An innovative application of Bayesian disease mapping methods to patient safety research: a Canadian adverse medical event study,10.1002/sim.2507,,,,
Diagnostics for confounding in PK/PD models for oxcarbazepine,10.1002/sim.2542,,,,
Seasonal confounding in air pollution and health time-series studies: effect on air pollution effect estimates,10.1002/sim.2681,,,,
Bounds on potential risks and causal risk differences under assumptions about confounding parameters,10.1002/sim.2927,,,,
Use of instrumental variables in the analysis of generalized linear models in the presence of unmeasured confounding with applications to epidemiological research,10.1002/sim.3036,,,,
Efforts to adjust for confounding by neighborhood using complex survey data,10.1002/sim.3946,,,,
Sensitivity analysis for unmeasured confounding in principal stratification settings with binary variables,10.1002/sim.4472,,,,
Log-linear model selections in a rural dental health study,10.1002/sim.4780020107,,,,
Model selection and the estimation of odds ratios in the presence of extraneous factors,10.1002/sim.4780091003,,,,
"Doubly robust estimators of causal exposure effects with missing data in the outcome, exposure or a confounder",10.1002/sim.5643,,,,
Methods for dealing with time-dependent confounding,10.1002/sim.5686,,,,
Network-based regularization for matched case-control analysis of high-dimensional DNA methylation data,10.1002/sim.5694,,,,
Multiple imputation for handling systematically missing confounders in meta-analysis of individual participant data,10.1002/sim.5894,,,,
The use of propensity score methods with survival or time-to-event outcomes: reporting measures of effect similar to those used in randomized experiments,10.1002/sim.5984,,,,
Using an instrumental variable to test for unmeasured confounding,10.1002/sim.6227,,,,
Controlling for seasonal patterns and time varying confounders in time-series epidemiological models: a simulation study,10.1002/sim.6271,,,,
"A flexible, interpretable framework for assessing sensitivity to unmeasured confounding",10.1002/sim.6973,,,,
A comparison of Bayesian and Monte Carlo sensitivity analysis for unmeasured confounding,10.1002/sim.7298,,,,
Inverse probability weighting to control confounding in an illness-death model for interval-censored data,10.1002/sim.7550,,,,
Sensitivity analysis for unobserved confounding of direct and indirect effects using uncertainty intervals,10.1002/sim.7620,,,,
A class of semiparametric tests of treatment effect robust to confounder measurement error,10.1002/sim.7852,,,,
Mediation analysis of time-to-event endpoints accounting for repeatedly measured mediators subject to time-varying confounding,10.1002/sim.8336,,,,
Safety surveillance and the estimation of risk in select populations: Flexible methods to control for confounding while targeting marginal comparisons via standardization,10.1002/sim.8410,,,,
"Bias testing, bias correction, and confounder selection using an instrumental variable model",10.1002/sim.8730,,,,
Confounder selection strategies targeting stable treatment effect estimators,10.1002/sim.8792,,,,
Using generalized linear models to implement g-estimation for survival data with time-varying confounding,10.1002/sim.8997,,,,
Practical recommendations on double score matching for estimating causal effects,10.1002/sim.9289,,,,
Identification and robust estimation of swapped direct and indirect effects: Mediation analysis with unmeasured mediator-outcome confounding and intermediate confounding,10.1002/sim.9501,,,,
Consistent inverse probability of treatment weighted estimation of the average treatment effect with mismeasured time-dependent confounders,10.1002/sim.9629,,,,
Causal inference in survival analysis under deterministic missingness of confounders in register data,10.1002/sim.9706,,,,
Variable selection and Bayesian model averaging in case-control studies,10.1002/sim.976,,,,
A Bayesian multistage spatio-temporally dependent model for spatial clustering and variable selection,10.1002/sim.9889,,,,
Dealing with time-dependent exposures and confounding when defining and estimating attributable fractions-Revisiting estimands and estimators,10.1002/sim.9988,,,,
Removal of Confounders via Invariant Risk Minimization for Medical Diagnosis,10.1007/978-3-031-16452-1_55,,,,
Time-resolved biomarker discovery in 1H-NMR data using generalized fuzzy Hough transform alignment and parallel factor analysis,10.1007/s00216-009-3421-5,,,,
Polypharmacy and mortality: new insights from a large cohort of older adults by detection of effect modification by multi-morbidity and comprehensive correction of confounding by indication,10.1007/s00228-017-2266-7,,,,
Learning Causal Graphs with Latent Confounders in Weak Faithfulness Violations,10.1007/s00354-016-0003-x,,,,
Balance disorders as potential confounders associated with an increased risk of acute cerebrovascular accidents,10.1007/s00405-020-06465-y,,,,
Different statistical techniques dealing with confounding in observational research: measuring the effect of breast-conserving therapy and mastectomy on survival,10.1007/s00432-019-02919-x,,,,
"Sensitivity analysis for unobserved confounding in causal mediation analysis allowing for effect modification, censoring and truncation",10.1007/s10260-021-00611-4,,,,
Variable selection: current practice in epidemiological studies,10.1007/s10654-009-9411-2,,,,
Selection of confounding variables should not be based on observed associations with exposure,10.1007/s10654-011-9606-1,,,,
"From bad to worse: collider stratification amplifies confounding bias in the ""obesity paradox""",10.1007/s10654-015-0069-7,,,,
"Limitations of individual causal models, causal graphs, and ignorability assumptions, as illustrated by random confounding and design unfaithfulness",10.1007/s10654-015-9995-7,,,,
The meaning of confounding adjustment in the presence of multiple versions of treatment: an application to organ transplantation,10.1007/s10654-019-00484-8,,,,
Principles of confounder selection,10.1007/s10654-019-00494-6,,,,
A descriptive review of variable selection methods in four epidemiologic journals: there is still room for improvement,10.1007/s10654-019-00529-y,,,,
Case-control matching on confounders revisited,10.1007/s10654-023-01046-9,,,,
"A Simulation-Based Assessment of Alternative Explanations for Apparent Confounding in ""PM Decomposition"" Studies",10.1007/s10666-022-09829-2,,,,
Causal modelling of heavy-tailed variables and confounders with application to river flow,10.1007/s10687-022-00456-4,,,,
Addressing missing data in confounders when estimating propensity scores for continuous exposures,10.1007/s10742-018-0191-6,,,,
The Causal Relationship between Childhood Adversity and Developmental Trajectories of Delinquency: A Consideration of Genetic and Environmental Confounds,10.1007/s10964-018-0960-0,,,,
Sensitivity analysis for unmeasured confounding in a marginal structural Cox proportional hazards model,10.1007/s10985-008-9109-x,,,,
Low-dimensional confounder adjustment and high-dimensional penalized estimation for survival analysis,10.1007/s10985-015-9350-z,,,,
Approximate Bayesian inference in semi-mechanistic models,10.1007/s11222-016-9668-8,,,,
A Review of the Techniques Used to Control Confounding Bias and How Spatiotemporal Variation Can Be Controlled in Environmental Impact Studies,10.1007/s11270-019-4150-9,,,,
Estimation of Causal Effect Measures in the Presence of Measurement Error in Confounders,10.1007/s12561-018-9213-8,,,,
Incorporating Genetic Heterogeneity in Whole-Genome Regressions Using Interactions,10.1007/s13253-015-0222-5,,,,
High-Dimensional Propensity Score-Adjusted Case-Crossover for Discovering Adverse Drug Reactions from Computerized Administrative Healthcare Databases,10.1007/s40264-022-01148-5,,,,
Microcomputer-assisted multivariate survival data analysis using Cox's proportional hazards regression model,10.1016/0169-2607(90)90054-d,,,,
Inappropriate use of bivariable analysis to screen risk factors for use in multivariable analysis,10.1016/0895-4356(96)00025-x,,,,
Combining ecological and individual variables to reduce confounding by indication: Case study - subarachnoid hemorrhage treatment,10.1016/S0895-4356(00)00251-1,,,,
"Calculating the ""number needed to be exposed"" with adjustment for confounding variables in epidemiological studies",10.1016/S0895-4356(01)00510-8,,,,
On Miettinen's multivariate confounder score,10.1016/S0895-4356(97)00283-7,,,,
Identification of confounders in the assessment of the relationship between lead exposure and child development,10.1016/S1047-2797(00)00176-9,,,,
Confounders or intermediate variables? Testing mechanisms for the relationship between depression and smoking in a longitudinal cohort study,10.1016/j.addbeh.2014.11.026,,,,
Observational Dose-Response Meta-Analysis Methods May Bias Risk Estimates at Low Consumption Levels: The Case of Meat and Colorectal Cancer,10.1016/j.advnut.2024.100214,,,,
"Confounding, causality, and confusion: the role of intermediate variables in interpreting observational studies in obstetrics",10.1016/j.ajog.2017.04.016,,,,
Using Causal Diagrams for Biomedical Research,10.1016/j.annemergmed.2022.08.014,,,,
Confounder selection in environmental epidemiology: Assessment of health effects of prenatal mercury exposure,10.1016/j.annepidem.2006.05.007,,,,
Bias formulas for external adjustment and sensitivity analysis of unmeasured confounders,10.1016/j.annepidem.2008.04.003,,,,
Time-Dependent Confounding in the Study of the Effects of Regular Physical Activity in Chronic Obstructive Pulmonary Disease: An Application of the Marginal Structural Model,10.1016/j.annepidem.2008.05.003,,,,
Confounding by Season in Ecologic Studies of Seasonal Exposures and Outcomes: Examples From Estimates of Mortality Due to Influenza,10.1016/j.annepidem.2009.06.009,,,,
Confounding control in a nonexperimental study of STAR*D data: logistic regression balanced covariates better than boosted CART,10.1016/j.annepidem.2013.01.004,,,,
Trimester-specific association between antibiotics exposure during pregnancy and childhood asthma or wheeze: the role of confounding,10.1016/j.annepidem.2018.10.003,,,,
Visualization tool of variable selection in bias-variance tradeoff for inverse probability weights,10.1016/j.annepidem.2019.12.006,,,,
"Avoiding Systematic Bias in Orthopedics Research Through Informed Variable Selection: A Discussion of Confounders, Mediators, and Colliders",10.1016/j.arth.2022.05.027,,,,
On the completeness of orientation rules for causal discovery in the presence of latent confounders and selection bias,10.1016/j.artint.2008.08.001,,,,
Variations in prostate biopsy recommendation and acceptance confound evaluation of risk factors for prostate cancer: Examining race and BMI,10.1016/j.canep.2019.101619,,,,
The effect of the prior distribution in the <i>Bayesian Adjustment for Confounding algorithm</i>,10.1016/j.csda.2013.09.011,,,,
Plasmode simulation for the evaluation of pharmacoepidemiologic methods in complex healthcare databases,10.1016/j.csda.2013.10.018,,,,
Causal mediation analysis for survival outcome with unobserved mediator-outcome confounders,10.1016/j.csda.2014.11.016,,,,
A causal examination of the effects of confounding factors on multimetric indices,10.1016/j.ecolind.2013.01.015,,,,
Bayesian geostatistical modelling of PM(10) and PM(2.5) surface level concentrations in Europe using high-resolution satellite-derived products,10.1016/j.envint.2018.08.041,,,,
A case-cohort study of perinatal exposure to potential endocrine disrupters and the risk of cryptorchidism in the Norwegian HUMIS study,10.1016/j.envint.2021.106815,,,,
"Implications of nonlinearity, confounding, and interactions for estimating exposure concentration-response functions in quantitative risk analysis",10.1016/j.envres.2020.109638,,,,
Assessing urinary phenol and paraben mixtures in pregnant women with and without gestational diabetes mellitus: A case-control study,10.1016/j.envres.2022.113897,,,,
An evaluation of Hamiltonian Monte Carlo performance to calibrate age-structured compartmental SEIR models to incidence data,10.1016/j.epidem.2020.100415,,,,
Scope of Mendelian randomization to control for unobserved confounding in epidemiology,10.1016/j.gaceta.2021.01.008,,,,
Propensity score methods to control for confounding in observational cohort studies: a statistical primer and application to endoscopy research,10.1016/j.gie.2019.04.236,,,,
Reducing the complexity of high-dimensional environmental data: An analytical framework using LASSO with considerations of confounding for statistical inference,10.1016/j.ijheh.2023.114116,,,,
Using computable knowledge mined from the literature to elucidate confounders for EHR-based pharmacovigilance,10.1016/j.jbi.2021.103719,,,,
Adjusting for indirectly measured confounding using large-scale propensity score,10.1016/j.jbi.2022.104204,,,,
A sensitivity analysis using information about measured confounders yielded improved uncertainty assessments for unmeasured confounding,10.1016/j.jclinepi.2007.05.006,,,,
External adjustment for unmeasured confounders improved drug-outcome association estimates based on health care utilization data,10.1016/j.jclinepi.2012.03.014,,,,
Reporting of covariate selection and balance assessment in propensity score analysis is suboptimal: a systematic review,10.1016/j.jclinepi.2014.08.011,,,,
Birth cohort appeared to confound effect estimates of guideline changes on statin utilization,10.1016/j.jclinepi.2014.10.010,,,,
Comparison of high-dimensional confounder summary scores in comparative studies of newly marketed medications,10.1016/j.jclinepi.2016.02.011,,,,
Magnitude and direction of missing confounders had different consequences on treatment effect estimation in propensity score analysis,10.1016/j.jclinepi.2017.04.001,,,,
Adjusting for unmeasured confounding in nonrandomized longitudinal studies: a methodological review,10.1016/j.jclinepi.2017.04.022,,,,
"Approaches to addressing missing values, measurement error, and confounding in epidemiologic studies",10.1016/j.jclinepi.2020.11.006,,,,
On the selection of variables in criminology: Adjusting for the descendants of unobserved confounders,10.1016/j.jcrimjus.2022.101924,,,,
"Second-generation corneal deformation signal waveform analysis in normal, forme fruste keratoconic, and manifest keratoconic corneas after statistical correction for potentially confounding factors",10.1016/j.jcrs.2015.11.011,,,,
Causal inference of general treatment effects using neural networks with a diverging number of confounders,10.1016/j.jeconom.2023.105555,,,,
Intensive care unit (ICU)-acquired bacteraemia and ICU mortality and discharge: addressing time-varying confounding using appropriate methodology,10.1016/j.jhin.2017.11.011,,,,
Predictors of leiomyoma recurrence after laparoscopic myomectomy,10.1016/j.jmig.2007.06.003,,,,
Network inference in the presence of latent confounders: The role of instantaneous causalities,10.1016/j.jneumeth.2015.02.015,,,,
"Nonlinear association criterion, nonlinear Granger causality and related issues with applications to neuroimage studies",10.1016/j.jneumeth.2016.01.003,,,,
Detecting multiple confounders,10.1016/j.jspi.2008.06.013,,,,
Similar failure and patency rates when comparing one- and two-stage basilic vein transposition,10.1016/j.jvs.2014.11.083,,,,
A practical method to control spatiotemporal confounding in environmental impact studies,10.1016/j.mex.2018.07.003,,,,
Dynamic Causal Modelling and physiological confounds: A functional MRI study of vagus nerve stimulation,10.1016/j.neuroimage.2010.05.021,,,,
Identification of causal relations in neuroimaging data with latent confounders: An instrumental variable approach,10.1016/j.neuroimage.2015.10.062,,,,
Model selection for identifying power-law scaling,10.1016/j.neuroimage.2016.01.008,,,,
Examining how physician factors influence patient satisfaction during clinical consultations about cancer prognosis and pain,10.1016/j.pecinn.2022.100017,,,,
The impact of confounder selection in propensity scores when applied to prospective cohort studies in pregnancy,10.1016/j.reprotox.2018.04.003,,,,
Association of low-level inorganic arsenic exposure from rice with age-standardized mortality risk of cardiovascular disease (CVD) in England and Wales,10.1016/j.scitotenv.2020.140534,,,,
Variable selection in heterogeneous datasets: A truncated-rank sparse linear mixed model with applications to genome-wide association studies,10.1016/j.ymeth.2018.04.021,,,,
Assessing topological congruence among concatenation-based phylogenomic approaches in empirical datasets,10.1016/j.ympev.2021.107086,,,,
Risk factors of prolonged postoperative pleural effusion after repair of tetralogy of Fallot,10.1016/s1726-4901(09)70155-8,,,,
"Challenging the utility of polygenic scores for social science: Environmental confounding, downward causation, and unknown biology",10.1017/S0140525X22001145,,,,
"Challenging the utility of polygenic scores for social science: Environmental confounding, downward causation, and unknown biology",10.1017/S0140525X22002394,,,,
Applications of the propensity score weighting method in psychogeriatric research: correcting selection bias and adjusting for confounders,10.1017/S1041610216002490,,,,
Sources of confounding in life course epidemiology,10.1017/S2040174418000582,,,,
A Functional Bayesian Model for Hydrogen-Deuterium Exchange Mass Spectrometry,10.1021/acs.jproteome.3c00297,,,,
Assessing Mediation Using Marginal Structural Models in the Presence of Confounding and Moderation,10.1037/a0029311,,,,
Structural Equation Modeling Versus Marginal Structural Modeling for Assessing Mediation in the Presence of Posttreatment Confounding,10.1037/a0036368,,,,
Combating Unmeasured Confounding in Cross-Sectional Studies: Evaluating Instrumental-Variable and Heckman Selection Models,10.1037/a0037416,,,,
Confounding in Statistical Mediation Analysis: What It Is and How to Address It,10.1037/cou0000242,,,,
The Impact of Measurement Error and Omitting Confounders on Statistical Inference of Mediation Effects and Tools for Sensitivity Analysis,10.1037/met0000345,,,,
Data-Driven Covariate Selection for Confounding Adjustment by Focusing on the Stability of the Effect Estimator,10.1037/met0000564,,,,
How Do Unobserved Confounding Mediators and Measurement Error Impact Estimated Mediation Effects and Corresponding Statistical Inferences? Introducing the R Package ConMed for Sensitivity Analysis,10.1037/met0000567,,,,
"One Step at a Time: A Statistical Approach for Distinguishing Mediators, Confounders, and Colliders Using Direction Dependence Analysis",10.1037/met0000619,,,,
Uncovering interpretable potential confounders in electronic medical records,10.1038/s41467-022-28546-8,,,,
High-throughput target trial emulation for Alzheimer's disease drug repurposing with real-world data,10.1038/s41467-023-43929-1,,,,
Adjusting for genetic confounders in transcriptome-wide association studies improves discovery of risk genes of complex traits,10.1038/s41588-023-01648-9,,,,
Adjusting for genetic confounders in transcriptome-wide association studies improves discovery of risk genes of complex traits,10.1038/s41588-023-01648-9,,,,
Nutritional status and anxious and depressive symptoms in anorexia nervosa: a prospective study,10.1038/s41598-020-79410-y,,,,
The benefits of selecting phenotype-specific variants for applications of mixed models in genomics,10.1038/srep01815,,,,
Sire coloration influences offspring survival under predation risk in the moorfrog,10.1046/j.1420-9101.2003.00606.x,,,,
Abnormal Mineral Metabolism and Mortality in Hemodialysis Patients With Secondary Hyperparathyroidism: Evidence From Marginal Structural Models Used to Adjust for Time-Dependent Confounding,10.1053/j.ajkd.2013.08.011,,,,
Time-Dependent Confounding in the Estimation of Treatment Effects in Randomised Trials with Multimodal Therapies - An Illustration of the Problem of Time-Dependent Confounding by Causal Graphs,10.1055/s-0033-1355405,,,,
"Smoking as potential confounder in German epidemiological studies:: Standardization of assessment, quantification, and analysis",10.1055/s-2005-858807,,,,
Unobserved time effects confound the identification of climate change impacts,10.1073/pnas.1202049109,,,,
Using machine learning to estimate the effect of racial segregation on COVID-19 mortality in the United States,10.1073/pnas.2015577118,,,,
An Introduction to Propensity Score Methods for Reducing the Effects of Confounding in Observational Studies,10.1080/00273171.2011.568786,,,,
Direction Dependence Analysis in the Presence of Confounders: Applications to Linear Mediation Models Using Observational Data,10.1080/00273171.2018.1528542,,,,
A More Efficient Causal Mediator Model Without the No-Unmeasured-Confounder Assumption,10.1080/00273171.2019.1656051,,,,
Tuning Random Forests for Causal Inference under Cluster-Level Unmeasured Confounding,10.1080/00273171.2021.1994364,,,,
Causal inference with missingness in confounder,10.1080/00949655.2022.2089672,,,,
Adjustment for Missing Confounders Using External Validation Data and Propensity Scores,10.1080/01621459.2011.643739,,,,
Some Statistical Strategies for DAE-seq Data Analysis: Variable Selection and Modeling Dependencies among Observations,10.1080/01621459.2013.869222,,,,
Uncertainty in Propensity Score Estimation: Bayesian Methods for Variable Selection and Model Averaged Causal Effects,10.1080/01621459.2013.869498,,,,
Regularization Methods for High-Dimensional Instrumental Variables Regression With an Application to Genetical Genomics,10.1080/01621459.2014.908125,,,,
Treatment Effect Estimation Under Additive Hazards Models With High-Dimensional Confounding,10.1080/01621459.2021.1930546,,,,
Identifying Effects of Multiple Treatments in the Presence of Unmeasured Confounding,10.1080/01621459.2021.2023551,,,,
Proximal Learning for Individualized Treatment Regimes Under Unmeasured Confounding,10.1080/01621459.2022.2147841,,,,
Nonlinear Causal Discovery with Confounders,10.1080/01621459.2023.2179490,,,,
Sensitivity to Unobserved Confounding in Studies with Factor-Structured Outcomes,10.1080/01621459.2023.2240053,,,,
De-confounding Causal Inference Using Latent Multiple-Mediator Pathways,10.1080/01621459.2023.2240461,,,,
Discovery and Inference of a Causal Network with Hidden Confounding,10.1080/01621459.2023.2261658,,,,
Doubly-Valid/Doubly-Sharp Sensitivity Analysis for Causal Inference with Unmeasured Confounding,10.1080/01621459.2024.2335588,,,,
Confounding adjustment methods for multi-level treatment comparisons under lack of positivity and unknown model specification,10.1080/02664763.2021.1911966,,,,
Sensitivity analysis of unmeasured confounding in causal inference based on exponential tilting and super learner,10.1080/02664763.2021.1999398,,,,
Examining the Error of Mis-Specifying Nonlinear Confounding Effect With Application on Accelerometer-Measured Physical Activity,10.1080/02701367.2017.1296101,,,,
Association of corticosteroid use and attention deficit/hyperactivity disorder in asthmatic children varies by age,10.1080/02770903.2022.2089995,,,,
"Comments on ""Unobservable Selection and Coefficient Stability: Theory and Evidence"" and ""Poorly Measured Confounders are More Useful on the Left Than on the Right""",10.1080/07350015.2019.1575743,,,,
Confounding and causation in the epidemiology of lead,10.1080/09603123.2016.1161179,,,,
Using Bayesian networks to clarify interpretation of exposure-response regression coefficients: blood lead-mortality association as an example,10.1080/10408444.2020.1787329,,,,
The effect of confounding variables in studies of lead exposure and IQ,10.1080/10408444.2020.1842851,,,,
Comparison of statistical methodologies used to estimate the treatment effect on time-to-event outcomes in observational studies,10.1080/10543406.2021.1918140,,,,
Meta-analysis of lung cancer in asphalt roofing and paving workers with external adjustment for confounding by coal tar,10.1080/15459620701335035,,,,
Controlling for spatial confounding and spatial interference in causal inference: modelling insights from a computational experiment,10.1080/19475683.2023.2257788,,,,
Confounded Local Inference: Extending Local Moran Statistics to Handle Confounding,10.1080/24694452.2024.2326541,,,,
Identifying confounding by indication through blinded prospective review,10.1093/aje/154.3.276,,,,
Causal knowledge as a prerequisite for confounding evaluation:: An application to birth defects epidemiology,10.1093/aje/155.2.176,,,,
Is residual confounding a reasonable explanation for the apparent protective effects of beta-carotene found in epidemiologic studies of lung cancer in smokers?,10.1093/aje/155.7.622,,,,
Dealing With Treatment-Confounder Feedback and Sparse Follow-up in Longitudinal Studies: Application of a Marginal Structural Model in a Multiple Sclerosis Cohort,10.1093/aje/kwaa243,,,,
Recent Methodological Trends in Epidemiology: No Need for Data-Driven Variable Selection?,10.1093/aje/kwad193,,,,
Confounder Adjustment Using the Disease Risk Score: A Proposal for Weighting Methods,10.1093/aje/kwad196,,,,
Comparison of logistic regression versus propensity score when the number of events is low and there are multiple confounders,10.1093/aje/kwg115,,,,
Monte Carlo sensitivity analysis and Bayesian analysis of smoking as an unmeasured confounder in a study of silica and lung cancer,10.1093/aje/kwh211,,,,
An application of model-fitting procedures for marginal structural models,10.1093/aje/kwi208,,,,
Invited commentary: Variable selection versus shrinkage in the control of multiple confounders,10.1093/aje/kwm355,,,,
"Pischon et al. Respond to ""Variable Selection versus Shrinkage in Control of Confounders""",10.1093/aje/kwm358,,,,
"Re: ""Invited commentary: Variable selection versus shrinkage in the control of multiple confounders"" (vol 167, pg 523, 2008)",10.1093/aje/kwn088,,,,
Confounding by Dietary Patterns of the Inverse Association Between Alcohol Consumption and Type 2 Diabetes Risk,10.1093/aje/kwp096,,,,
Time-modified Confounding,10.1093/aje/kwp175,,,,
Effects of Socioeconomic and Racial Residential Segregation on Preterm Birth: A Cautionary Tale of Structural Confounding,10.1093/aje/kwp435,,,,
Treatment Effects in the Presence of Unmeasured Confounding: Dealing With Observations in the Tails of the Propensity Score Distribution-A Simulation Study,10.1093/aje/kwq198,,,,
Covariate selection in high-dimensional propensity score analyses of treatment effects in small samples,10.1093/aje/kwr001,,,,
"Performance of Disease Risk Scores, Propensity Scores, and Traditional Multivariable Outcome Regression in the Presence of Multiple Confounders",10.1093/aje/kwr143,,,,
Comparison of Instrumental Variable Analysis Using a New Instrument With Risk Adjustment Methods to Reduce Confounding by Indication,10.1093/aje/kwr448,,,,
The Table 2 Fallacy: Presenting and Interpreting Confounder and Modifier Coefficients,10.1093/aje/kws412,,,,
A Comparison of Confounding Adjustment Methods for Assessment of Asthma Controller Medication Effectiveness,10.1093/aje/kwt323,,,,
Adjustment for Missing Confounders in Studies Based on Observational Databases: 2-Stage Calibration Combining Propensity Scores From Primary and Validation Data,10.1093/aje/kwu130,,,,
Mediation Analysis With Intermediate Confounding: Structural Equation Modeling Viewed Through the Causal Inference Lens,10.1093/aje/kwu239,,,,
Controlling Time-Dependent Confounding by Health Status and Frailty: Restriction Versus Statistical Adjustment,10.1093/aje/kwu485,,,,
Regularized Regression Versus the High-Dimensional Propensity Score for Confounding Adjustment in Secondary Database Analyses,10.1093/aje/kwv108,,,,
"The ""Dry-Run"" Analysis: A Method for Evaluating Risk Scores for Confounding Control",10.1093/aje/kwx032,,,,
Selecting Shrinkage Parameters for Effect Estimation: The Multi-Ethnic Study of Atherosclerosis,10.1093/aje/kwx225,,,,
Analysis of Longitudinal Studies With Repeated Outcome Measures: Adjusting for Time-Dependent Confounding Using Conventional Methods,10.1093/aje/kwx311,,,,
"Education and Cognitive Aging: Accounting for Selection and Confounding in Linkage of Data From the Danish Registry and Survey of Health, Ageing and Retirement in Europe",10.1093/aje/kwy162,,,,
Nonparametric efficient causal mediation with intermediate confounders,10.1093/biomet/asaa085,,,,
Sharp sensitivity bounds for mediation under unmeasured mediator-outcome confounding,10.1093/biomet/asw012,,,,
Instrumental variables as bias amplifiers with general outcome and confounding,10.1093/biomet/asx009,,,,
On semiparametric estimation of a path-specific effect in the presence of mediator-outcome confounding,10.1093/biomet/asz063,,,,
Confounder-dependent Bayesian mixture model: Characterizing heterogeneity of causal effects in air pollution epidemiology,10.1093/biomtc/ujae025,,,,
Doubly robust methods for handling confounding by cluster,10.1093/biostatistics/kxv041,,,,
Guided Bayesian imputation to adjust for confounding when combining heterogeneous data sources in comparative effectiveness research,10.1093/biostatistics/kxx003,,,,
Matching Methods for Confounder Adjustment: An Addition to the Epidemiologist's Toolbox,10.1093/epirev/mxab003,,,,
An overview of the objectives of and the approaches to propensity score analyses,10.1093/eurheartj/ehr031,,,,
"Birthweight, gestational age and familial confounding in sex differences in infant mortality: a matched co-twin control study of Brazilian male-female twin pairs identified by population data linkage",10.1093/ije/dyab242,,,,
