"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"L6LNLB8J","journalArticle","2020","Kennedy, Edward H.","Towards Optimal Doubly Robust Estimation of Heterogeneous Causal Effects","Department of Statistics & Data Science Carnegie Mellon University","","","https://arxiv.org/pdf/2004.14497.pdf","","","2020","2023-09-25 16:07:55","2023-10-24 12:57:08","","","","","","","","","","","","","","","","","","","","","","Publisher: Carnegie Mellon University","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KWM9VJ63","journalArticle","2021","Malec, Scott A.; Wei, Peng; Bernstam, Elmer V.; Boyce, Richard D.; Cohen, Trevor","Using computable knowledge mined from the literature to elucidate confounders for EHR-based pharmacovigilance","Journal of Biomedical Informatics","","","https://doi.org/10.1016/j.jbi.2021.103719","","","2021","2023-09-25 16:07:55","2023-10-24 12:57:10","","","","","117","","","","","","","","","","","","","","","","","Publisher: Elsevier Inc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5T6T5JKA","journalArticle","2022","Buch, Gregor; Schulz, Andreas; Schmidtmann, Irene; Strauch, Konstantin; Wild, Philipp S.","A systematic review and evaluation of statistical methods for group variable selection","Statistics in Medicine","","","https://doi.org/10.1002/sim.9620","","","2022","2023-09-25 16:07:55","2023-09-25 16:07:55","","331–352","","3","42","","","","","","","","","","","","","","","","","Publisher: John Wiley & Sons Ltd.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MSJ7KQAZ","journalArticle","2022","Zeng, Jiaming; Gensheimer; Rubin, Daniel L.; Anthey, Susan; Shachter, Ross D.","Uncovering interpretable potential confounders in electronic medical records","Nature Communications","","","https://doi.org/10.1038/s41467-022-28546-8","","","2022","2023-09-25 16:07:56","2023-10-24 12:57:08","","","","1014","13","","","","","","","","","","","","","","","","","Publisher: Nature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQZZFJDA","journalArticle","2023","Silva, Natalia da; Cook, Dianne; Lee, Eun-Kyung","Interactive graphics for visually diagnosing forest classifiers in R","Computational Statistics","","","","","","2023","2023-09-25 16:07:56","2023-10-24 12:57:03","","","","","","","","","","","","","","","","","","","","","","Publisher: Springer Nature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83VH9L9M","journalArticle","2017","Vaughan, Greg","Stagewise Estimating Equations","University of Connecticut","","","https://opencommons.uconn.edu/cgi/viewcontent.cgi?article=7800&context=dissertations","","","2017","2023-09-25 16:07:56","2023-10-24 12:57:07","","","","","","","","","","","","","","","","","","","","","","Publisher: University of Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6QTR4WD5","journalArticle","2005","Zou, Hui; Hastie, Trevor","Regularization and variable selection via the elastic net","Journal of the Royal Statistical Society","","","https://rss.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-9868.2005.00503.x","","","2005","2023-09-25 16:07:56","2023-10-24 12:57:06","","301–320","","2","67","","","","","","","","","","","","","","","","","Publisher: Royal Statistical SOciety","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NY6MHV3I","journalArticle","2008","Bondell, Howard D.; Reich, Brian J.","Simultaneous Regression Shrinkage, Variable Selection, and Supervised Clustering of Predictors with OSCAR","Biometrics","","","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1541-0420.2007.00843.x","","","2008","2023-09-25 16:07:56","2023-10-24 12:57:07","","115–123","","1","64","","","","","","","","","","","","","","","","","Publisher: International Biometric Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YMZSLJX9","journalArticle","2018","Salmasi, Luca; Capobianco, Enrice","Use of instrumental variables in electronic health record-driven models","Statistical Methods in Medical Research","","","https://journals.sagepub.com/doi/10.1177/0962280216641154","","","2018","2023-09-25 16:07:56","2023-10-24 12:57:09","","608–621","","2","27","","","","","","","","","","","","","","","","","Publisher: SAGE Journals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QRHT9NXX","journalArticle","2014","Basu, Anirban","Estimating Person-Centered Treatment (PeT) Effects Using Instrumental Variables: An Application to Evaluating Prostate Cancer Treatments","Journal of Applied Econometrics","","","https://doi.org/10.1002/jae.2343","","","2014","2023-09-25 16:07:56","2023-10-24 12:57:02","","671–691","","4","29","","","","","","","","","","","","","","","","","Publisher: John Wiley & Sons, Ltd.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GBZWJ3D2","journalArticle","2015","Haukoos, Jason S.; Lewis, Roger J.","The Propensity Score","Journal of the American Medical Association","","","https://doi.org/10.1001/jama.2015.13480","","","2015","2023-09-25 16:07:56","2023-10-24 12:57:08","","1637–1638","","15","314","","","","","","","","","","","","","","","","","Publisher: American Medical Association","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8Z7S4568","journalArticle","2009","Rassen, Jeremy A.; Brookhart, M. Alan; Glynn, Robert J.; Mittleman, Murray A.; Schneeweiss, Sebastian","Instrumental variables I: instrumental variables exploit natural variation in nonexperimental data to estimate causal relationships","Journal of Clinical Epidemiology","","","https://doi.org/10.1016/j.jclinepi.2008.12.005","","","2009","2023-09-25 16:07:56","2023-10-24 12:57:03","","1226–1232","","","62","","","","","","","","","","","","","","","","","Publisher: Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WIVSPJ7K","journalArticle","2012","Janzing, Dominik; Peters, Jonas; Mooij, Joris; Schoelkopf, Bernhard","Identifying confounders using additive noise models","Proceedings of the Twenty-Fifth Conference on Uncertainty in Artificial Intelligence (UAI2009)","","","https://doi.org/10.48550/arXiv.1205.2640","","","2012","2023-09-25 16:07:56","2023-10-24 12:57:02","","","","","","","","","","","","","","","","","","","","","","Publisher: arXiv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L84GK4WD","journalArticle","2003","McNamee, R","Confounding and Confounders","Occp Environ Med","","","https://oem.bmj.com/content/60/3/227","","","2003","2023-09-25 16:07:56","2023-10-24 12:57:01","","227–234","","","60","","","","","","","","","","","","","","","","","Publisher: BMJ Journals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3WBHYSXY","journalArticle","2020","Tennant, Peter W G; Murray, Eleanor J; Arnold, Kellyn F; Berrie, Laurie; Fox, Matthew P; Gadd, Sarah C; Harrison, Wendy J; Keeble, Claire; Ranker, Lynsie R; Textor, Johannes; Tomova, Georgia D; Gilthorpe, Mark S; Ellison, George T H","Use of directed acyclic graphs (DAGs) to identify confounders in applied health research: review and recommendations","International Journal of Epidemiology","","0300-5771","10.1093/ije/dyaa213","https://doi.org/10.1093/ije/dyaa213","","2020-12","2023-09-25 16:07:56","2023-10-24 12:57:09","","620-632","","2","50","","","","","","","","","","","","","","","","","_eprint: https://academic.oup.com/ije/article-pdf/50/2/620/37947634/dyaa213.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VYDQA9Y7","journalArticle","2018","Tu, Ruibo; Zhang, Kun; Ackermann, Paul; Bertilson, Bo Christer; Glymour, Clark; Kjellstrom, Hedvig; Zhang, Cheng","Causal Discovery in the Presence of Missing Data","arXiv","","","https://doi.org/10.48550/arXiv.1807.04010","","","2018","2023-09-25 16:07:56","2023-10-24 12:57:00","","","","","","","","","","","","","","","","","","","","","","Publisher: arXiv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASRHWH62","journalArticle","2022","Gao, Erdun; Ng, Ignavier; Gong, Mingming; Huang, Wei; Liu, Tongliang; Zhang, Kun; Bondell, Howard","MissDAG: Causal Discovery in the Presence of Missing Data with Continuous Additive Noise Models","arXiv","","","https://doi.org/10.48550/arXiv.2205.13869","","","2022","2023-09-25 16:07:56","2023-10-24 12:57:04","","","","","","","","","","","","","","","","","","","","","","Publisher: arXiv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VVMZK65D","journalArticle","2021","Witte, Janine; Foraita, Ronja; Didelez, Vanessa","Multiple imputation and test-wise deletion for causal discovery with incomplete cohort data","arXiv","","","https://arxiv.org/abs/2108.13331","","","2021","2023-09-25 16:07:56","2023-10-24 12:57:05","","","","","","","","","","","","","","","","","","","","","","Publisher: arXiv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X2HQJ2SU","journalArticle","2014","Peters, Jonas; Mooji, Joris M.; Janzing, Dominik; Scholkopf, Bernhard","Causal Discovery with Continuous Additive Noise Models","Journal of Machine Learning Research","","","","","","2014","2023-09-25 16:07:56","2023-10-24 12:57:01","","2009–2053","","","15","","","","","","","","","","","","","","","","","Publisher: JMLR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KNQKAULY","document","2021","Reisach, Alexander G.; Seiler, Christof; Weichwald, Sebastian","Beware of the Simulated DAG! Causal Discovery Benchmarks May Be Easy To Game","","","","","https://arxiv.org/abs/2102.13647","","2021","2023-09-25 16:07:56","2023-10-24 12:56:59","","","","","","","","","","","","","arXiv","","","arXiv.org perpetual, non-exclusive license","","","","","","DOI: https://doi.org/10.48550/arxiv.2102.13647","","","","FOS: Computer and information sciences; Machine Learning (cs.LG); Machine Learning (stat.ML); Methodology (stat.ME)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QYX7UWVJ","journalArticle","2015","Wei, Pengfei; Lu, Zhenzhou; Song, Jingwen","Variable importance analysis: A comprehensive review","Reliability Engineering and System Safety","","","http://dx.doi.org/10.1016/j.ress.2015.05.018","","","2015","2023-09-25 16:07:56","2023-10-24 12:57:11","","399–432","","","142","","","","","","","","","","","","","","","","","Publisher: Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZTCE5XYS","report","2021","Morales-Alvarez, Pablo; Lamb, Angus; Woodhead, Simon; Peyton Jones, Simon; Allamanis, Miltos; Zhang, Cheng","VICAUSE: Simultaneous missing value imputation and causal discovery","","","","","https://www.microsoft.com/en-us/research/publication/vicause-simultaneous-missing-value-imputation-and-causal-discovery/","","2021-07","2023-09-25 16:07:56","2023-10-24 12:57:12","","","","","","","","","","","","","ICML 2021 workshop on the Neglected Assumptions in Causal Inference","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MSR-TR-2021-14","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28HSZ8WF","journalArticle","2020","Chowdhury, Mohammad Ziaul Islam; Turin, Tanvir C","Variable selection strategies and its importance in clinical prediction modelling","Family Medicine and Community Health","","2305-6983","10.1136/fmch-2019-000262","https://fmch.bmj.com/content/8/1/e000262","","2020","2023-09-25 16:07:56","2023-10-24 12:57:11","","","","1","8","","","","","","","","","","","","","","","","","Publisher: BMJ Specialist Journals _eprint: https://fmch.bmj.com/content/8/1/e000262.full.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SNRI75JN","journalArticle","2021","Emmanuel, T.; Maupong, T.; Mpoeleng, D. et al","A survey on missing data in machine learning","Journal of Big Data","","","https://doi.org/10.1186/s40537-021-00516-9","","","2021","2023-09-25 16:07:56","2023-10-24 12:56:57","","","","140","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RW699PYG","journalArticle","2012","Hapfelmeier, Alexander; Hothorn, Torsten; Ulm, Kurt","Random Forest variable importance with missing data","Universitätsbibliothek der Ludwig-Maximilians-Universität München","","","https://doi.org/10.5282/ubm/epub.12757","","","2012","2023-09-25 16:07:56","2023-10-24 12:57:05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEX7383A","journalArticle","2014","Hapfelmeier, Alexander; Ulm, Kurt","Variable selection by Random Forests using data with missing values","Computational Statistics and Data Analysis","","","http://dx.doi.org/10.1016/j.csda.2014.06.017","","","2014","2023-09-25 16:07:56","2023-10-24 12:57:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQ4GQ4WE","journalArticle","2021","Levy, Jonathan; van der Laan, Mark; Hubbard, Alan; Pirracchio, Romain","A fundamental measure of treatment eﬀect heterogeneity","Journal of Causal Inference","","","https://doi.org/10.1515/jci-2019-0003","","","2021","2023-09-25 16:07:55","2023-10-24 12:56:56","","83–108","","","9","","","","","","","","","","","","","","","","","Publisher: De Gruyter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQ45L6LT","journalArticle","2022","Cinelli, Carlos; Forney, Andrew; Pearl, Judea","A Crash Course in Good and Bad Controls","Journal of Sociological Methods and Research","","","","","","2022","2023-09-25 16:07:55","2023-10-24 12:56:54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LPXN3T8T","book","2021","R Core Team","R Documentation: Random Number Generation","","","","","https://stat.ethz.ch/R-manual/R-devel/library/base/html/Random.html","","2021","2023-09-25 16:08:10","2023-09-25 16:08:10","","","","","","","","","","","","","R Foundation for Statistical Computing","Vienna, Austria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YKWT2FK2","journalArticle","2016","Neale, Michael C.; Hunter, Michael D.; Pritikin, Joshua N.; Zahery, Mahsa; Brick, Timothy R.; Kirkpatrick, Robert M.; Estabrook, Ryne; Bates, Timothy C.; Maes, Hermine H.; Boker, Steven M.","OpenMx 2.0: Extended structural equation and statistical modeling","Psychometrika","","","10.1007/s11336-014-9435-8","","","2016","2023-09-25 16:08:10","2023-09-25 16:08:10","","535-549","","2","81","","","","","","","","","","","","","","","","","Publisher: Psychometric Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P4II7QJW","journalArticle","2006","Burton, Andrea; Altman, Douglas G.; Royston, Patrick; Holder, Roger L.","The design of simulation studies in medical statistics","Statistics in Medicine","","","10.1002/sim.2673","","","2006","2023-09-25 16:08:10","2023-09-25 16:08:10","","","","","25","","","","","","","","","","","","","","","","","Publisher: Wiley InterScience","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NBZQJCFK","journalArticle","2008","In Kim, Kyung; A van de Wiel, Mark","Effects of dependence in high-dimensional multiple testing problems","BMC Bioinformatics","","","10.1186/1471-2105-9-114","","","2008","2023-09-25 16:08:10","2023-09-25 16:08:10","","","","114","9","","","","","","","","","","","","","","","","","Publisher: BioMed Central Ltd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66M8NQ9N","computerProgram","2023","Tarmey, Emma","Variable Selection Simulation Study","","","","","","","2023-05","2023-09-25 16:08:10","2023-09-25 16:08:10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0.0","","","","","","","",""
"WYI4VIUG","journalArticle","2017","Shortreed, Susan M.; Ertefaie, Ashkan","Outcome-Adaptive Lasso: Variable Selection for Causal Inference","Biometrics","","","https://doi.org/10.1111/biom.12679","","","2017","2023-09-25 16:08:10","2024-04-25 14:24:44","","1111–1122","","","73","","","","","","","","","","","","","","","","","Publisher: Wiley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DQDDUDLJ","bookSection","2022","Verma, TS; Pearl, Judea","Equivalence and Synthesis of Causal Models","Probabilistic and Causal Inference: The Works of Judea Pearl","978-1-4503-9586-1","","","https://doi.org/10.1145/3501714.3501732","","2022","2023-09-25 16:08:10","2023-09-25 16:08:10","","221–236","","","","","","","","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FL7T2B5V","journalArticle","2009","Xie, Huiliang; Huang, Jian","SCAD-Penalised Regression in High-Dimensional Partially Linear Models","The Annals of Statistics","","","https://doi.org/10.1214/07-AOS580","","","2009","2023-09-25 16:08:10","2023-09-25 16:08:10","","673–696","","2","37","","","","","","","","","","","","","","","","","Publisher: Institute of Mathematical Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MGSWWEXN","journalArticle","2010","Zhang, Cun-Hui","Nearly Unbiased Variable Selection Under Minimax Concave Penalty","The Annals of Statistics","","","https://doi.org/10.1214/09-AOS729","","","2010","2023-09-25 16:08:10","2023-09-25 16:08:10","","894–942","","2","38","","","","","","","","","","","","","","","","","Publisher: Institute of Mathematical Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
