PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35612081","OntoBioStat: Supporting Causal Diagram Design and Analysis","Pressat Laffouilhère T, Grosjean J, Bénichou J, Darmoni SJ, Soualmia LF.","Stud Health Technol Inform. 2022 May 25;294:302-306. doi: 10.3233/SHTI220463.","Pressat Laffouilhère T","Stud Health Technol Inform","2022","2022/05/25","","","10.3233/SHTI220463"
"31161279","A descriptive review of variable selection methods in four epidemiologic journals: there is still room for improvement","Talbot D, Massamba VK.","Eur J Epidemiol. 2019 Aug;34(8):725-730. doi: 10.1007/s10654-019-00529-y. Epub 2019 Jun 3.","Talbot D","Eur J Epidemiol","2019","2019/06/05","","","10.1007/s10654-019-00529-y"
"36994803","Estimating temporally variable selection intensity from ancient DNA data with the flexibility of modelling linkage and epistasis","He Z, Dai X, Lyu W, Beaumont M, Yu F.","Mol Ecol Resour. 2023 Aug;23(6):1226-1240. doi: 10.1111/1755-0998.13790. Epub 2023 Apr 13.","He Z","Mol Ecol Resour","2023","2023/03/30","","","10.1111/1755-0998.13790"
"35043393","Ultra-high dimensional variable selection for doubly robust causal inference","Tang D, Kong D, Pan W, Wang L.","Biometrics. 2023 Jun;79(2):903-914. doi: 10.1111/biom.13625. Epub 2022 Mar 22.","Tang D","Biometrics","2023","2022/01/19","","","10.1111/biom.13625"
"34841979","Bayesian variable selection in hierarchical difference-in-differences models","Normington JP, Lock EF, Murray TA, Carlin CS.","Stat Methods Med Res. 2022 Jan;31(1):169-183. doi: 10.1177/09622802211051087. Epub 2021 Nov 29.","Normington JP","Stat Methods Med Res","2022","2021/11/29","","","10.1177/09622802211051087"
"35605128","Causal Modeling to Mitigate Selection Bias and Unmeasured Confounding in Internet-Based Epidemiology of COVID-19: Model Development and Validation","Stockham N, Washington P, Chrisman B, Paskov K, Jung JY, Wall DP.","JMIR Public Health Surveill. 2022 Jul 21;8(7):e31306. doi: 10.2196/31306.","Stockham N","JMIR Public Health Surveill","2022","2022/05/23","PMC9307267","","10.2196/31306"
"27779497","Variable Selection for Confounding Adjustment in High-dimensional Covariate Spaces When Analyzing Healthcare Databases","Schneeweiss S, Eddings W, Glynn RJ, Patorno E, Rassen J, Franklin JM.","Epidemiology. 2017 Mar;28(2):237-248. doi: 10.1097/EDE.0000000000000581.","Schneeweiss S","Epidemiology","2017","2016/10/26","","","10.1097/EDE.0000000000000581"
"24006330","A review of covariate selection for non-experimental comparative effectiveness research","Sauer BC, Brookhart MA, Roy J, VanderWeele T.","Pharmacoepidemiol Drug Saf. 2013 Nov;22(11):1139-45. doi: 10.1002/pds.3506. Epub 2013 Sep 5.","Sauer BC","Pharmacoepidemiol Drug Saf","2013","2013/09/06","PMC4190055","NIHMS632445","10.1002/pds.3506"
"35258102","Spatial+: A novel approach to spatial confounding","Dupont E, Wood SN, Augustin NH.","Biometrics. 2022 Dec;78(4):1279-1290. doi: 10.1111/biom.13656. Epub 2022 Mar 30.","Dupont E","Biometrics","2022","2022/03/08","PMC10084199","","10.1111/biom.13656"
"21075803","On model selection and model misspecification in causal inference","Vansteelandt S, Bekaert M, Claeskens G.","Stat Methods Med Res. 2012 Feb;21(1):7-30. doi: 10.1177/0962280210387717. Epub 2010 Nov 12.","Vansteelandt S","Stat Methods Med Res","2012","2010/11/16","","","10.1177/0962280210387717"
"21362706","An overview of the objectives of and the approaches to propensity score analyses","Heinze G, Jüni P.","Eur Heart J. 2011 Jul;32(14):1704-8. doi: 10.1093/eurheartj/ehr031. Epub 2011 Feb 28.","Heinze G","Eur Heart J","2011","2011/03/03","","","10.1093/eurheartj/ehr031"
"21805529","Measuring balance and model selection in propensity score methods","Belitser SV, Martens EP, Pestman WR, Groenwold RH, de Boer A, Klungel OH.","Pharmacoepidemiol Drug Saf. 2011 Nov;20(11):1115-29. doi: 10.1002/pds.2188. Epub 2011 Jul 29.","Belitser SV","Pharmacoepidemiol Drug Saf","2011","2011/08/02","","","10.1002/pds.2188"
"30013400","Automated data-adaptive analytics for electronic healthcare data to study causal treatment effects","Schneeweiss S.","Clin Epidemiol. 2018 Jul 6;10:771-788. doi: 10.2147/CLEP.S166545. eCollection 2018.","Schneeweiss S","Clin Epidemiol","2018","2018/07/18","PMC6039060","","10.2147/CLEP.S166545"
"23717431","Model selection approach suggests causal association between 25-hydroxyvitamin D and colorectal cancer","Zgaga L, Agakov F, Theodoratou E, Farrington SM, Tenesa A, Dunlop MG, McKeigue P, Campbell H.","PLoS One. 2013 May 24;8(5):e63475. doi: 10.1371/journal.pone.0063475. Print 2013.","Zgaga L","PLoS One","2013","2013/05/30","PMC3663843","","10.1371/journal.pone.0063475"
"38081829","High-throughput target trial emulation for Alzheimer's disease drug repurposing with real-world data","Zang C, Zhang H, Xu J, Zhang H, Fouladvand S, Havaldar S, Cheng F, Chen K, Chen Y, Glicksberg BS, Chen J, Bian J, Wang F.","Nat Commun. 2023 Dec 11;14(1):8180. doi: 10.1038/s41467-023-43929-1.","Zang C","Nat Commun","2023","2023/12/11","PMC10713627","","10.1038/s41467-023-43929-1"
"34957585","Practical recommendations on double score matching for estimating causal effects","Zhang Y, Yang S, Ye W, Faries DE, Lipkovich I, Kadziola Z.","Stat Med. 2022 Apr 15;41(8):1421-1445. doi: 10.1002/sim.9289. Epub 2021 Dec 26.","Zhang Y","Stat Med","2022","2021/12/27","PMC8918069","NIHMS1780198","10.1002/sim.9289"
"25433444","Reporting of covariate selection and balance assessment in propensity score analysis is suboptimal: a systematic review","Ali MS, Groenwold RH, Belitser SV, Pestman WR, Hoes AW, Roes KC, Boer Ad, Klungel OH.","J Clin Epidemiol. 2015 Feb;68(2):112-21. doi: 10.1016/j.jclinepi.2014.08.011. Epub 2014 Nov 26.","Ali MS","J Clin Epidemiol","2015","2014/12/01","","","10.1016/j.jclinepi.2014.08.011"
"31385558","How to obtain valid tests and confidence intervals after propensity score variable selection?","Dukes O, Vansteelandt S.","Stat Methods Med Res. 2020 Mar;29(3):677-694. doi: 10.1177/0962280219862005. Epub 2019 Aug 6.","Dukes O","Stat Methods Med Res","2020","2019/08/07","","","10.1177/0962280219862005"
"30306605","Covariate selection strategies for causal inference: Classification and comparison","Witte J, Didelez V.","Biom J. 2019 Sep;61(5):1270-1289. doi: 10.1002/bimj.201700294. Epub 2018 Oct 10.","Witte J","Biom J","2019","2018/10/12","","","10.1002/bimj.201700294"
"2916724","Modeling and variable selection in epidemiologic analysis","Greenland S.","Am J Public Health. 1989 Mar;79(3):340-9. doi: 10.2105/ajph.79.3.340.","Greenland S","Am J Public Health","1989","1989/03/01","PMC1349563","","10.2105/ajph.79.3.340"
"37719280","Relationships between Loneliness and Occupational Dysfunction in Community-Dwelling Older Adults: A Cross-Sectional Study","Nakashima D, Fujii K, Kubo Y, Yorozuya K.","Occup Ther Int. 2023 Sep 7;2023:9505865. doi: 10.1155/2023/9505865. eCollection 2023.","Nakashima D","Occup Ther Int","2023","2023/09/18","PMC10501838","","10.1155/2023/9505865"
"26226129","Variable Selection for Confounder Control, Flexible Modeling and Collaborative Targeted Minimum Loss-Based Estimation in Causal Inference","Schnitzer ME, Lok JJ, Gruber S.","Int J Biostat. 2016 May 1;12(1):97-115. doi: 10.1515/ijb-2015-0017.","Schnitzer ME","Int J Biostat","2016","2015/07/31","PMC4733443","NIHMS717498","10.1515/ijb-2015-0017"
"24627710","Understanding logistic regression analysis","Sperandei S.","Biochem Med (Zagreb). 2014 Feb 15;24(1):12-8. doi: 10.11613/BM.2014.003. eCollection 2014.","Sperandei S","Biochem Med (Zagreb)","2014","2014/03/15","PMC3936971","","10.11613/BM.2014.003"
"38315782","Methods for Improving Confounding Control in Comparative Effectiveness Research Using Electronic Healthcare Databases","Wyss R, Schneeweiss S, van der Laan M, Lendle SD, Ju C, Franklin JM.","Washington (DC): Patient-Centered Outcomes Research Institute (PCORI); 2019 Jul.","Wyss R","Methods for Improving Confounding Control in Comparative Effectiveness Research Using Electronic Healthcare Databases","2019","2019/07/01","","","10.25302/7.2019.ME.13035638"
"11746314","Variable selection and Bayesian model averaging in case-control studies","Viallefont V, Raftery AE, Richardson S.","Stat Med. 2001 Nov 15;20(21):3215-30. doi: 10.1002/sim.976.","Viallefont V","Stat Med","2001","2001/12/18","","","10.1002/sim.976"
"29705212","Variable selection in heterogeneous datasets: A truncated-rank sparse linear mixed model with applications to genome-wide association studies","Wang H, Aragam B, Xing EP.","Methods. 2018 Aug 1;145:2-9. doi: 10.1016/j.ymeth.2018.04.021. Epub 2018 Apr 27.","Wang H","Methods","2018","2018/04/30","PMC10319256","NIHMS1904985","10.1016/j.ymeth.2018.04.021"
"31144601","Propensity score analysis for correlated subgroup effects","Liu SY, Liu C, Nehus E, Macaluso M, Lu B, Kim MO.","Stat Methods Med Res. 2020 Apr;29(4):1067-1080. doi: 10.1177/0962280219850595. Epub 2019 May 30.","Liu SY","Stat Methods Med Res","2020","2019/05/31","","","10.1177/0962280219850595"
"27893927","Model averaged double robust estimation","Cefalu M, Dominici F, Arvold N, Parmigiani G.","Biometrics. 2017 Jun;73(2):410-421. doi: 10.1111/biom.12622. Epub 2016 Nov 28.","Cefalu M","Biometrics","2017","2016/11/29","PMC5466877","NIHMS839303","10.1111/biom.12622"
"26201703","A Bagged, Partially Linear, Tree-Based Regression Procedure for Prediction and Variable Selection","Mbogning C, Perdry H, Broët P.","Hum Hered. 2015;79(3-4):182-93. doi: 10.1159/000380850. Epub 2015 Jul 28.","Mbogning C","Hum Hered","2015","2015/07/24","","","10.1159/000380850"
"28273693","Outcome-adaptive lasso: Variable selection for causal inference","Shortreed SM, Ertefaie A.","Biometrics. 2017 Dec;73(4):1111-1122. doi: 10.1111/biom.12679. Epub 2017 Mar 8.","Shortreed SM","Biometrics","2017","2017/03/09","PMC5591052","NIHMS852754","10.1111/biom.12679"
"29635974","A Bayesian two-stage spatially dependent variable selection model for space-time health data","Choi J, Lawson AB.","Stat Methods Med Res. 2019 Sep;28(9):2570-2582. doi: 10.1177/0962280218767980. Epub 2018 Apr 11.","Choi J","Stat Methods Med Res","2019","2018/04/12","","","10.1177/0962280218767980"
"37104763","Data-driven covariate selection for confounding adjustment by focusing on the stability of the effect estimator","Loh WW, Ren D.","Psychol Methods. 2023 Apr 27. doi: 10.1037/met0000564. Online ahead of print.","Loh WW","Psychol Methods","2023","2023/04/27","","","10.1037/met0000564"
"24696528","Uncertainty in Propensity Score Estimation: Bayesian Methods for Variable Selection and Model Averaged Causal Effects","Zigler CM, Dominici F.","J Am Stat Assoc. 2014 Jan 1;109(505):95-107. doi: 10.1080/01621459.2013.869498.","Zigler CM","J Am Stat Assoc","2014","2014/04/04","PMC3969816","NIHMS546611","10.1080/01621459.2013.869498"
"32903110","Using Bayesian networks to clarify interpretation of exposure-response regression coefficients: blood lead-mortality association as an example","Cox LA Jr.","Crit Rev Toxicol. 2020 Aug;50(7):539-550. doi: 10.1080/10408444.2020.1787329. Epub 2020 Sep 9.","Cox LA Jr","Crit Rev Toxicol","2020","2020/09/09","","","10.1080/10408444.2020.1787329"
"32431779","High-Dimensional Confounding Adjustment Using Continuous Spike and Slab Priors","Antonelli J, Parmigiani G, Dominici F.","Bayesian Anal. 2019 Sep;14(3):805-828. doi: 10.1214/18-ba1131. Epub 2019 Jun 11.","Antonelli J","Bayesian Anal","2019","2020/05/21","PMC7236769","NIHMS1585461","10.1214/18-ba1131"
"25123966","Confounder selection via penalized credible regions","Wilson A, Reich BJ.","Biometrics. 2014 Dec;70(4):852-61. doi: 10.1111/biom.12203. Epub 2014 Aug 14.","Wilson A","Biometrics","2014","2014/08/16","","","10.1111/biom.12203"
"36162928","Avoiding Systematic Bias in Orthopedics Research Through Informed Variable Selection: A Discussion of Confounders, Mediators, and Colliders","Devick KL, Zaniletti I, Larson DR, Lewallen DG, Berry DJ, Maradit Kremers H.","J Arthroplasty. 2022 Oct;37(10):1951-1955. doi: 10.1016/j.arth.2022.05.027. Epub 2022 Sep 6.","Devick KL","J Arthroplasty","2022","2022/09/26","PMC9616679","NIHMS1842488","10.1016/j.arth.2022.05.027"
"36281232","Bayesian Model Averaging to Account for Model Uncertainty in Estimates of a Vaccine's Effectiveness","Oliveira CR, Shapiro ED, Weinberger DM.","Clin Epidemiol. 2022 Oct 18;14:1167-1175. doi: 10.2147/CLEP.S378039. eCollection 2022.","Oliveira CR","Clin Epidemiol","2022","2022/10/25","PMC9587703","","10.2147/CLEP.S378039"
"33436652","Nutritional status and anxious and depressive symptoms in anorexia nervosa: a prospective study","Pleplé A, Lalanne C, Huas C, Mattar L, Hanachi M, Flament MF, Carchon I, Jouen F, Berthoz S, Godart N.","Sci Rep. 2021 Jan 12;11(1):771. doi: 10.1038/s41598-020-79410-y.","Pleplé A","Sci Rep","2021","2021/01/13","PMC7804178","","10.1038/s41598-020-79410-y"
"37349873","Ensuring valid inference for Cox hazard ratios after variable selection","Van Lancker K, Dukes O, Vansteelandt S.","Biometrics. 2023 Dec;79(4):3096-3110. doi: 10.1111/biom.13889. Epub 2023 Jun 22.","Van Lancker K","Biometrics","2023","2023/06/23","","","10.1111/biom.13889"
"29096050","Discussion of ""Data-driven confounder selection via Markov and Bayesian networks"" by Häggström","Richardson TS, Robins JM, Wang L.","Biometrics. 2018 Jun;74(2):403-406. doi: 10.1111/biom.12784. Epub 2017 Nov 2.","Richardson TS","Biometrics","2018","2017/11/03","PMC5932283","NIHMS907050","10.1111/biom.12784"
"18552590","Model selection and health effect estimation in environmental epidemiology","Dominici F, Wang C, Crainiceanu C, Parmigiani G.","Epidemiology. 2008 Jul;19(4):558-60. doi: 10.1097/EDE.0b013e31817307dc.","Dominici F","Epidemiology","2008","2008/06/17","","","10.1097/EDE.0b013e31817307dc"
"36288248","Observing cognitive processes in time through functional MRI model comparison","Marxen M, Graff JE, Riedel P, Smolka MN.","Hum Brain Mapp. 2023 Mar;44(4):1359-1370. doi: 10.1002/hbm.26114. Epub 2022 Oct 26.","Marxen M","Hum Brain Mapp","2023","2022/10/26","PMC9921218","","10.1002/hbm.26114"
"34094592","SurvBoost: An R Package for High-Dimensional Variable Selection in the Stratified Proportional Hazards Model via Gradient Boosting","Morris E, He K, Li Y, Li Y, Kang J.","R J. 2020 Jun;12(1):105-117. doi: 10.32614/rj-2020-018.","Morris E","R J","2020","2021/06/07","PMC8174798","NIHMS1656432","10.32614/rj-2020-018"
"37582225","A Functional Bayesian Model for Hydrogen-Deuterium Exchange Mass Spectrometry","Crook OM, Gittens N, Chung CW, Deane CM.","J Proteome Res. 2023 Sep 1;22(9):2959-2972. doi: 10.1021/acs.jproteome.3c00297. Epub 2023 Aug 15.","Crook OM","J Proteome Res","2023","2023/08/15","PMC10476270","","10.1021/acs.jproteome.3c00297"
"33936898","Lipid Peroxidation With Implication of Organic Pollution in Autistic Behaviors","Yui K, Imataka G, Sasaki H, Shiroki R, Koshiba M.","Cureus. 2021 Mar 30;13(3):e14188. doi: 10.7759/cureus.14188.","Yui K","Cureus","2021","2021/05/03","PMC8083076","","10.7759/cureus.14188"
"22745751","Model selection in time series studies of influenza-associated mortality","Wang XL, Yang L, Chan KP, Chiu SS, Chan KH, Peiris JS, Wong CM.","PLoS One. 2012;7(6):e39423. doi: 10.1371/journal.pone.0039423. Epub 2012 Jun 20.","Wang XL","PLoS One","2012","2012/06/30","PMC3380027","","10.1371/journal.pone.0039423"
"27193095","Identification of confounder in epidemiologic data contaminated by measurement error in covariates","Lee PH, Burstyn I.","BMC Med Res Methodol. 2016 May 18;16:54. doi: 10.1186/s12874-016-0159-6.","Lee PH","BMC Med Res Methodol","2016","2016/05/20","PMC4870765","","10.1186/s12874-016-0159-6"
"35361198","Assignment of unimodal probability distribution models for quantitative morphological phenotyping","Ghanegolmohammadi F, Ohnuki S, Ohya Y.","BMC Biol. 2022 Mar 31;20(1):81. doi: 10.1186/s12915-022-01283-6.","Ghanegolmohammadi F","BMC Biol","2022","2022/04/01","PMC8969357","","10.1186/s12915-022-01283-6"
"29629235","Variable Selection in Heterogeneous Datasets: A Truncated-rank Sparse Linear Mixed Model with Applications to Genome-wide Association Studies","Wang H, Aragam B, Xing EP.","Proceedings (IEEE Int Conf Bioinformatics Biomed). 2017 Nov;2017:431-438. doi: 10.1109/BIBM.2017.8217687. Epub 2017 Dec 18.","Wang H","Proceedings (IEEE Int Conf Bioinformatics Biomed)","2017","2018/04/10","PMC5889139","NIHMS874620","10.1109/BIBM.2017.8217687"
"22458711","Detecting disease-associated genes with confounding variable adjustment and the impact on genomic meta-analysis: with application to major depressive disorder","Wang X, Lin Y, Song C, Sibille E, Tseng GC.","BMC Bioinformatics. 2012 Mar 29;13:52. doi: 10.1186/1471-2105-13-52.","Wang X","BMC Bioinformatics","2012","2012/03/31","PMC3342232","","10.1186/1471-2105-13-52"
"25720934","Similar failure and patency rates when comparing one- and two-stage basilic vein transposition","Cooper J, Power AH, DeRose G, Forbes TL, Dubois L.","J Vasc Surg. 2015 Mar;61(3):809-16. doi: 10.1016/j.jvs.2014.11.083.","Cooper J","J Vasc Surg","2015","2015/02/28","","","10.1016/j.jvs.2014.11.083"
"31982245","Visualization tool of variable selection in bias-variance tradeoff for inverse probability weights","Yu YH, Filion KB, Bodnar LM, Brooks MM, Platt RW, Himes KP, Naimi AI.","Ann Epidemiol. 2020 Jan;41:56-59. doi: 10.1016/j.annepidem.2019.12.006. Epub 2019 Dec 13.","Yu YH","Ann Epidemiol","2020","2020/01/27","PMC7864095","NIHMS1664801","10.1016/j.annepidem.2019.12.006"
"21668909","Selecting SNPs to identify ancestry","Sampson JN, Kidd KK, Kidd JR, Zhao H.","Ann Hum Genet. 2011 Jul;75(4):539-53. doi: 10.1111/j.1469-1809.2011.00656.x.","Sampson JN","Ann Hum Genet","2011","2011/06/15","PMC3141729","NIHMS292025","10.1111/j.1469-1809.2011.00656.x"
"32226236","Approximate Bayesian inference in semi-mechanistic models","Aderhold A, Husmeier D, Grzegorczyk M.","Stat Comput. 2017;27(4):1003-1040. doi: 10.1007/s11222-016-9668-8. Epub 2016 Jun 16.","Aderhold A","Stat Comput","2017","2020/04/01","PMC7089672","","10.1007/s11222-016-9668-8"
"33881235","Concerns Regarding P Value-Based Variable Selection of Exposure Variables and Confounding Factors: Comment on the Article by Hawker et al","Ogawa T, Yamada Y, Momosaki R, Katayanagi J, Yoshioka T.","Arthritis Rheumatol. 2021 Oct;73(10):1946-1947. doi: 10.1002/art.41771. Epub 2021 Aug 14.","Ogawa T","Arthritis Rheumatol","2021","2021/04/21","","","10.1002/art.41771"
"25765050","Assessing risk factors for dental caries: a statistical modeling approach","Trottini M, Bossù M, Corridore D, Ierardo G, Luzzi V, Saccucci M, Polimeni A.","Caries Res. 2015;49(3):226-35. doi: 10.1159/000369831. Epub 2015 Mar 4.","Trottini M","Caries Res","2015","2015/03/14","","","10.1159/000369831"
"30380092","The betaboost package-a software tool for modelling bounded outcome variables in potentially high-dimensional epidemiological data","Mayr A, Weinhold L, Hofner B, Titze S, Gefeller O, Schmid M.","Int J Epidemiol. 2018 Oct 1;47(5):1383-1388. doi: 10.1093/ije/dyy093.","Mayr A","Int J Epidemiol","2018","2018/11/01","","","10.1093/ije/dyy093"
"24478163","Propensity score balance measures in pharmacoepidemiology: a simulation study","Ali MS, Groenwold RH, Pestman WR, Belitser SV, Roes KC, Hoes AW, de Boer A, Klungel OH.","Pharmacoepidemiol Drug Saf. 2014 Aug;23(8):802-11. doi: 10.1002/pds.3574. Epub 2014 Jan 29.","Ali MS","Pharmacoepidemiol Drug Saf","2014","2014/01/31","","","10.1002/pds.3574"
"19967429","Variable selection: current practice in epidemiological studies","Walter S, Tiemeier H.","Eur J Epidemiol. 2009;24(12):733-6. doi: 10.1007/s10654-009-9411-2. Epub 2009 Dec 5.","Walter S","Eur J Epidemiol","2009","2009/12/08","PMC2791468","","10.1007/s10654-009-9411-2"
"36299590","Linear high-dimensional mediation models adjusting for confounders using propensity score method","Luo L, Yan Y, Cui Y, Yuan X, Yu Z.","Front Genet. 2022 Oct 10;13:961148. doi: 10.3389/fgene.2022.961148. eCollection 2022.","Luo L","Front Genet","2022","2022/10/27","PMC9589256","","10.3389/fgene.2022.961148"
"29939268","Evaluating large-scale propensity score performance through real-world and synthetic data experiments","Tian Y, Schuemie MJ, Suchard MA.","Int J Epidemiol. 2018 Dec 1;47(6):2005-2014. doi: 10.1093/ije/dyy120.","Tian Y","Int J Epidemiol","2018","2018/06/26","PMC6280944","","10.1093/ije/dyy120"
"34031106","Survival models to support shared decision-making about advance care planning for people with advanced stage cystic fibrosis","Hajizadeh N, Zhang M, Akerman M, Kohn N, Mathew A, Hadjiliadis D, Wang J, Lesser ML.","BMJ Open Respir Res. 2021 May;8(1):e000794. doi: 10.1136/bmjresp-2020-000794.","Hajizadeh N","BMJ Open Respir Res","2021","2021/05/25","PMC8149438","","10.1136/bmjresp-2020-000794"
"28827890","Selection, calibration, and validation of models of tumor growth","Lima EABF, Oden JT, Hormuth DA 2nd, Yankeelov TE, Almeida RC.","Math Models Methods Appl Sci. 2016 Nov;26(12):2341-2368. doi: 10.1142/S021820251650055X. Epub 2016 Oct 3.","Lima EABF","Math Models Methods Appl Sci","2016","2017/08/23","PMC5560997","NIHMS889410","10.1142/S021820251650055X"
"33012124","The effect of gene flow from unsampled demes in landscape genetic analysis","Shirk AJ, Landguth EL, Cushman SA.","Mol Ecol Resour. 2021 Feb;21(2):394-403. doi: 10.1111/1755-0998.13267. Epub 2020 Oct 23.","Shirk AJ","Mol Ecol Resour","2021","2020/10/04","","","10.1111/1755-0998.13267"
"31397506","Data-adaptive longitudinal model selection in causal inference with collaborative targeted minimum loss-based estimation","Schnitzer ME, Sango J, Ferreira Guerra S, van der Laan MJ.","Biometrics. 2020 Mar;76(1):145-157. doi: 10.1111/biom.13135. Epub 2019 Nov 6.","Schnitzer ME","Biometrics","2020","2019/08/10","","","10.1111/biom.13135"
"27748680","Bias Due to Confounders for the Exposure-Competing Risk Relationship","Lesko CR, Lau B.","Epidemiology. 2017 Jan;28(1):20-27. doi: 10.1097/EDE.0000000000000565.","Lesko CR","Epidemiology","2017","2016/10/18","PMC5489237","NIHMS866998","10.1097/EDE.0000000000000565"
"34814461","[Matching in observational research: from the directed acyclic graph perspective]","Luo T, Wang L, Tian T, Fu WH, Pei HL, Zheng YJ, Dai JH.","Zhonghua Liu Xing Bing Xue Za Zhi. 2021 Apr 10;42(4):740-744. doi: 10.3760/cma.j.cn112338-20200601-00793.","Luo T","Zhonghua Liu Xing Bing Xue Za Zhi","2021","2021/11/24","","","10.3760/cma.j.cn112338-20200601-00793"
"29750844","Doubly robust matching estimators for high dimensional confounding adjustment","Antonelli J, Cefalu M, Palmer N, Agniel D.","Biometrics. 2018 Dec;74(4):1171-1179. doi: 10.1111/biom.12887. Epub 2018 May 11.","Antonelli J","Biometrics","2018","2018/05/12","PMC6347556","NIHMS989129","10.1111/biom.12887"
"30102415","Alcohol Outlets, Neighborhood Retail Environments, and Pedestrian Injury Risk","Nesoff ED, Milam AJ, Branas CC, Martins SS, Knowlton AR, Furr-Holden DM.","Alcohol Clin Exp Res. 2018 Oct;42(10):1979-1987. doi: 10.1111/acer.13844. Epub 2018 Aug 13.","Nesoff ED","Alcohol Clin Exp Res","2018","2018/08/14","PMC6167150","NIHMS983010","10.1111/acer.13844"
"37139402","Season-dependent impact of forage quality on stress in alpine chamois","Corlatti L, Palme R, Valencak TG, Gomez KM.","Ecol Evol. 2023 May 1;13(5):e10045. doi: 10.1002/ece3.10045. eCollection 2023 May.","Corlatti L","Ecol Evol","2023","2023/05/04","PMC10150231","","10.1002/ece3.10045"
"17892584","Developing a spatial-statistical model and map of historical malaria prevalence in Botswana using a staged variable selection procedure","Craig MH, Sharp BL, Mabaso ML, Kleinschmidt I.","Int J Health Geogr. 2007 Sep 24;6:44. doi: 10.1186/1476-072X-6-44.","Craig MH","Int J Health Geogr","2007","2007/09/26","PMC2082025","","10.1186/1476-072X-6-44"
