Title,DOI,Author,Relevant_methods,Relevant_simulation,Review_paper,Emma_Notes,Kate_Notes,Jonathan_Notes,Rhian_Notes,Paul_Notes
Assessing spatial confounding in cancer disease mapping using R,https://doi.org/10.1002/cnr2.1263,"Azevedo, DRM; Bandyopadhyay, D; Prates, MO; Abdel-Salam, ASG; Garcia, D",1,0,0,spatial,,,,
Season-dependent impact of forage quality on stress in alpine chamois,https://doi.org/10.1002/ece3.10045,"Corlatti L, Palme R, Valencak TG, Gomez KM.",0,0,0,,,,,
Annual variation in breeding success in boreal forest grouse: Four decades of monitoring reveals bottom-up drivers to be more important than predation,https://doi.org/10.1002/ece3.9327,"Wegge P, Moss R, Rolstad J.",0,0,0,,,,,
Model selection in occupancy models: Inference versus prediction,https://doi.org/10.1002/ecy.3942,"Stewart PS, Stephens PA, Hill RA, Whittingham MJ, Dawson W.",1,0,0,M-DAG,,,,
Mitigating spatial confounding by explicitly correlating Gaussian random fields,https://doi.org/10.1002/env.2727,"Marques, I; Kneib, T; Klein, N",1,0,0,spatial,,,,
Confounded by Sequencing Depth in Association Studies of Rare Alleles,https://doi.org/10.1002/gepi.20574,"Garner, C",0,0,0,,,,,
Summary statistic analyses can mistake confounding bias for heritability,https://doi.org/10.1002/gepi.22259,"Holmes, JB; Speed, D; Balding, DJ",0,0,0,,,,,
Intermediate confounding in trio relationships: The importance of complete data in effect size estimation,https://doi.org/10.1002/gepi.22294,"Tubbs, JD; Zhang, YD; Sham, PC",0,0,0,,,,,
An enhanced machine learning tool for<i>cis</i>-eQTL mapping with regularization and confounder adjustments,https://doi.org/10.1002/gepi.22341,"Yan, KK; Zhao, HY; Wu, JT; Pang, H",1,0,0,Ml-based,,,,
Causation and familial confounding as explanations for the associations of polygenic risk scores with breast cancer: Evidence from innovative ICE FALCON and ICE CRISTAL analyses,https://doi.org/10.1002/gepi.22556,"Li, S; Dite, GS; Macinnis, RJ; Bui, M; Nguyen, TL; Esser, VFC; Ye, ZF; Dowty, JG; Makalic, E; Sung, JH; Giles, GG; Southey, MC; Hopper, JL",0,0,0,,,,,
Stochastic dynamic causal modeling of working memory connections in cocaine dependence,https://doi.org/10.1002/hbm.22212,"Ma L, Steinberg JL, Hasan KM, Narayana PA, Kramer LA, Moeller FG.",0,0,0,,,,,
Observing cognitive processes in time through functional MRI model comparison,https://doi.org/10.1002/hbm.26114,"Marxen M, Graff JE, Riedel P, Smolka MN.",0,0,0,,,,,
Applying nonexperimental study approach to analyze historical batch data,https://doi.org/10.1002/jps.23066,"Cui Y, Song X, Chuang K, Xie M.",0,0,0,,,,,
The role of the c-statistic in variable selection for propensity score models,https://doi.org/10.1002/pds.2074,"Westreich D, Cole SR, Funk MJ, Brookhart MA, Stürmer T.",1,0,0,,,,,
Measuring balance and model selection in propensity score methods,https://doi.org/10.1002/pds.2188,"Belitser SV, Martens EP, Pestman WR, Groenwold RH, de Boer A, Klungel OH.",1,0,0,,,,,
Using high-dimensional propensity scores to automate confounding control in a distributed medical product safety surveillance system,https://doi.org/10.1002/pds.2328,"Rassen, JA; Schneeweiss, S",1,0,0,,,,,
Variable selection for propensity score models when estimating treatment effects on multiple outcomes: a simulation study,https://doi.org/10.1002/pds.3356,"Wyss R, Girman CJ, LoCasale RJ, Brookhart AM, Stürmer T.",1,1,0,,,,,
A review of covariate selection for non-experimental comparative effectiveness research,https://doi.org/10.1002/pds.3506,"Sauer BC, Brookhart MA, Roy J, VanderWeele T.",1,0,1,,,,,
Propensity score balance measures in pharmacoepidemiology: a simulation study,https://doi.org/10.1002/pds.3574,"Ali MS, Groenwold RH, Pestman WR, Belitser SV, Roes KC, Hoes AW, de Boer A, Klungel OH.",0,0,0,,,,,
On the role of marginal confounder prevalence - implications for the high-dimensional propensity score algorithm,https://doi.org/10.1002/pds.3773,"Schuster T, Pang M, Platt RW.",0,0,0,,,,,
Addressing unmeasured confounding in comparative observational research,https://doi.org/10.1002/pds.4394,"Zhang, X; Faries, DE; Li, H; Stamey, JD; Imbens, GW",1,0,1,unmeasured,,,,
A comparison of confounder selection and adjustment methods for estimating causal effects using large healthcare databases,https://doi.org/10.1002/pds.5403,"Benasseur, I; Talbot, D; Durand, M; Holbrook, A; Matteau, A; Potter, BJ; Renoux, C; Schnitzer, ME; Tarride, JE; Guertin, JR",1,1,1,,,,,
Machine learning for improving high-dimensional proxy confounder adjustment in healthcare database studies: An overview of the current literature,https://doi.org/10.1002/pds.5500,"Wyss, R; Yanover, C; El-Hay, T; Bennett, D; Platt, RW; Zullo, AR; Sari, G; Wen, XR; Ye, YZ; Yuan, HB; Gokhale, M; Patorno, E; Lin, KJ",1,0,1,Ml-based,,,,
Controlling for confounding via propensity score methods can result in biased estimation of the conditional AUC: A simulation study,https://doi.org/10.1002/pst.1948,"Galadima HI, McClish DK.",0,1,0,,,,,
On kernel machine learning for propensity score estimation under complex confounding structures,https://doi.org/10.1002/pst.2105,"Zou B, Mi X, Tighe PJ, Koch GG, Zou F.",1,0,0,Ml-based,,,,
Opportunities for minimization of confounding in observational research,https://doi.org/10.1002/pst.528,"Quartey, G; Feudjo-Tepie, M; Wang, JX; Kim, J",1,0,0,study design,,,,
Consequences of exposure measurement error for confounder identification in environmental epidemiology,https://doi.org/10.1002/sim.1541,"Budtz-Jorgensen, E; Keiding, N; Grandjean, P; Weihe, P; White, RF",0,0,0,theory,,,,
Improved estimation of controlled direct effects in the presence of unmeasured confounding of intermediate variables,https://doi.org/10.1002/sim.2057,"Kaufman, S; Kaufman, JS; MacLehose, RF; Greenland, S; Poole, C",1,1,0,Table II,,,,
An innovative application of Bayesian disease mapping methods to patient safety research: a Canadian adverse medical event study,https://doi.org/10.1002/sim.2507,"MacNab YC, Kmetic A, Gustafson P, Sheps S.",1,0,0,,,,,
Diagnostics for confounding in PK/PD models for oxcarbazepine,https://doi.org/10.1002/sim.2542,"Nedelman, JR; Rubin, DB; Sheiner, LB",0,0,0,,,,,
Seasonal confounding in air pollution and health time-series studies: effect on air pollution effect estimates,https://doi.org/10.1002/sim.2681,"Touloumi G, Samoli E, Pipikou M, Le Tertre A, Atkinson R, Katsouyanni K; APHEA-2 Project Group.",0,0,0,,,,,
Bounds on potential risks and causal risk differences under assumptions about confounding parameters,https://doi.org/10.1002/sim.2927,"Chiba, Y; Sato, T; Greenland, S",0,0,0,,,,,
Use of instrumental variables in the analysis of generalized linear models in the presence of unmeasured confounding with applications to epidemiological research,https://doi.org/10.1002/sim.3036,"Johnston, KM; Gustafson, P; Levy, AR; Grootendorst, P",1,1,0,,,,,
Efforts to adjust for confounding by neighborhood using complex survey data,https://doi.org/10.1002/sim.3946,"Brumback, BA; Dailey, AB; He, ZL; Brumback, LC; Livingston, MD",0,0,0,,,,,
Sensitivity analysis for unmeasured confounding in principal stratification settings with binary variables,https://doi.org/10.1002/sim.4472,"Schwartz, S; Li, F; Reiter, JP",1,0,0,,,,,
Log-linear model selections in a rural dental health study,https://doi.org/10.1002/sim.4780020107,"Oler J, Bentley JM.",0,0,0,,,,,
Model selection and the estimation of odds ratios in the presence of extraneous factors,https://doi.org/10.1002/sim.4780091003,"Schall R, Zucchini W.",0,0,0,,,,,
"Doubly robust estimators of causal exposure effects with missing data in the outcome, exposure or a confounder",https://doi.org/10.1002/sim.5643,"Williamson, EJ; Forbes, A; Wolfe, R",1,0,0,,,,,
Methods for dealing with time-dependent confounding,https://doi.org/10.1002/sim.5686,"Daniel, RM; Cousens, SN; De Stavola, BL; Kenward, MG; Sterne, JAC",1,0,0,,,,,
Network-based regularization for matched case-control analysis of high-dimensional DNA methylation data,https://doi.org/10.1002/sim.5694,"Sun H, Wang S.",0,0,0,,,,,
Multiple imputation for handling systematically missing confounders in meta-analysis of individual participant data,https://doi.org/10.1002/sim.5894,"Resche-Rigon, M; White, IR; Bartlett, JW; Peters, SAE; Thompson, SG",1,0,0,,,,,
The use of propensity score methods with survival or time-to-event outcomes: reporting measures of effect similar to those used in randomized experiments,https://doi.org/10.1002/sim.5984,Austin PC.,0,0,0,,,,,
Using an instrumental variable to test for unmeasured confounding,https://doi.org/10.1002/sim.6227,"Guo, Z; Cheng, J; Lorch, SA; Small, DS",1,0,0,,,,,
Controlling for seasonal patterns and time varying confounders in time-series epidemiological models: a simulation study,https://doi.org/10.1002/sim.6271,"Perrakis K, Gryparis A, Schwartz J, Le Tertre A, Katsouyanni K, Forastiere F, Stafoggia M, Samoli E.",0,0,0,,,,,
"A flexible, interpretable framework for assessing sensitivity to unmeasured confounding",https://doi.org/10.1002/sim.6973,"Dorie, V; Harada, M; Carnegie, NB; Hill, J",1,0,0,model misspecification,,,,
A comparison of Bayesian and Monte Carlo sensitivity analysis for unmeasured confounding,https://doi.org/10.1002/sim.7298,"McCandless, LC; Gustafson, P",1,0,0,,,,,
Inverse probability weighting to control confounding in an illness-death model for interval-censored data,https://doi.org/10.1002/sim.7550,"Gillaizeau, F; Sénage, T; Le Borgne, F; Le Tourneau, T; Roussel, JC; Leffondrè, K; Porcher, R; Giraudeau, B; Dantan, E; Foucher, Y",0,0,0,,,,,
Sensitivity analysis for unobserved confounding of direct and indirect effects using uncertainty intervals,https://doi.org/10.1002/sim.7620,"Lindmark, A; de Luna, X; Eriksson, M",1,0,0,,,,,
A class of semiparametric tests of treatment effect robust to confounder measurement error,https://doi.org/10.1002/sim.7852,"Miles, CH; Schwartz, J; Tchetgen, EJT",0,0,0,theory,,,,
Mediation analysis of time-to-event endpoints accounting for repeatedly measured mediators subject to time-varying confounding,https://doi.org/10.1002/sim.8336,"Vansteelandt, S; Linder, M; Vandenberghe, S; Steen, J; Madsen, J",0,0,0,,,,,
Safety surveillance and the estimation of risk in select populations: Flexible methods to control for confounding while targeting marginal comparisons via standardization,https://doi.org/10.1002/sim.8410,"Shi, X; Wellman, R; Heagerty, PJ; Nelson, JC; Cook, AJ",0,0,0,,,,,
"Bias testing, bias correction, and confounder selection using an instrumental variable model",https://doi.org/10.1002/sim.8730,"Choi, BY; Fine, JP; Brookhart, MA",1,0,0,,,,,
Confounder selection strategies targeting stable treatment effect estimators,https://doi.org/10.1002/sim.8792,"Loh, WW; Vansteelandt, S",1,1,0,Table 1,,,,
Using generalized linear models to implement g-estimation for survival data with time-varying confounding,https://doi.org/10.1002/sim.8997,"Seaman, SR; Keogh, RH; Dukes, O; Vansteelandt, S",1,0,0,,,,,
Practical recommendations on double score matching for estimating causal effects,https://doi.org/10.1002/sim.9289,"Zhang Y, Yang S, Ye W, Faries DE, Lipkovich I, Kadziola Z.",1,1,0,,,,,
Identification and robust estimation of swapped direct and indirect effects: Mediation analysis with unmeasured mediator-outcome confounding and intermediate confounding,https://doi.org/10.1002/sim.9501,"Tai, AS; Lin, SH",1,1,0,,,,,
Consistent inverse probability of treatment weighted estimation of the average treatment effect with mismeasured time-dependent confounders,https://doi.org/10.1002/sim.9629,"Yan, Y; Ren, MC",1,1,0,,,,,
Causal inference in survival analysis under deterministic missingness of confounders in register data,https://doi.org/10.1002/sim.9706,"Ciocanea-Teodorescu, I; Goetghebeur, E; Waernbaum, I; Schön, S; Gabriel, EE",0,0,0,MNAR,,,,
Variable selection and Bayesian model averaging in case-control studies,https://doi.org/10.1002/sim.976,"Viallefont V, Raftery AE, Richardson S.",1,0,0,,,,,
A Bayesian multistage spatio-temporally dependent model for spatial clustering and variable selection,https://doi.org/10.1002/sim.9889,"Ma S, Yu K, Tang ML, Pan J, Härdle WK, Tian M.",0,0,0,Spatio-temporal clustering,,,,
Dealing with time-dependent exposures and confounding when defining and estimating attributable fractions-Revisiting estimands and estimators,https://doi.org/10.1002/sim.9988,"Steen, J; Morzywolek, P; Van Biesen, W; Decruyenaere, J; Vansteelandt, S",0,0,0,,,,,
Removal of Confounders via Invariant Risk Minimization for Medical Diagnosis,https://doi.org/10.1007/978-3-031-16452-1_55,"Zare, S; Nguyen, HV",1,0,0,Ml-based,,,,
Time-resolved biomarker discovery in 1H-NMR data using generalized fuzzy Hough transform alignment and parallel factor analysis,https://doi.org/10.1007/s00216-009-3421-5,"Alm E, Torgrip RJ, Aberg KM, Schuppe-Koistinen I, Lindberg J.",0,0,0,,,,,
Polypharmacy and mortality: new insights from a large cohort of older adults by detection of effect modification by multi-morbidity and comprehensive correction of confounding by indication,https://doi.org/10.1007/s00228-017-2266-7,"Schöttker, B; Saum, KU; Muhlack, DC; Hoppe, LK; Holleczek, B; Brenner, H",0,0,0,,,,,
Learning Causal Graphs with Latent Confounders in Weak Faithfulness Violations,https://doi.org/10.1007/s00354-016-0003-x,"Isozaki, T; Kuroki, M",1,0,0,,,,,
Balance disorders as potential confounders associated with an increased risk of acute cerebrovascular accidents,https://doi.org/10.1007/s00405-020-06465-y,"Domínguez-Durán, E; Marmol-Szombathy, I; López-Urbano, MJ; Palomo-Sánchez, A; Alarcón-Balanza, F; Palmero-Olmo, E; Nogales-Nieves, A; Otero-Aguilar, P; Poyatos-Poyatos, B; Torres-Rodríguez, M; Manjón-Collado, MT; Bullón-Fernández, B; Campos-Holguín, M; Valle-Martín, F; Medina-Moreno, P; Mora-Quintero, A; Sánchez-Gómez, S",0,0,0,,,,,
Different statistical techniques dealing with confounding in observational research: measuring the effect of breast-conserving therapy and mastectomy on survival,https://doi.org/10.1007/s00432-019-02919-x,"van Maaren, MC; le Cessie, S; Strobbe, LJA; Groothuis-Oudshoorn, CGM; Poortmans, PMP; Siesling, S",0,0,0,,,,,
"Sensitivity analysis for unobserved confounding in causal mediation analysis allowing for effect modification, censoring and truncation",https://doi.org/10.1007/s10260-021-00611-4,"Lindmark, A",1,1,0,,,,,
Variable selection: current practice in epidemiological studies,https://doi.org/10.1007/s10654-009-9411-2,"Walter S, Tiemeier H.",1,0,1,Possibly outdated review (2009),,,,
Selection of confounding variables should not be based on observed associations with exposure,https://doi.org/10.1007/s10654-011-9606-1,"Groenwold, RHH; Klungel, OH; Grobbee, DE; Hoes, AW",1,0,0,Singular,,,,
"From bad to worse: collider stratification amplifies confounding bias in the ""obesity paradox""",https://doi.org/10.1007/s10654-015-0069-7,"Banack, HR; Kaufman, JS",1,0,0,Interacting biases,,,,
"Limitations of individual causal models, causal graphs, and ignorability assumptions, as illustrated by random confounding and design unfaithfulness",https://doi.org/10.1007/s10654-015-9995-7,"Greenland, S; Mansournia, MA",1,0,0,Causal theory,,,,
The meaning of confounding adjustment in the presence of multiple versions of treatment: an application to organ transplantation,https://doi.org/10.1007/s10654-019-00484-8,"Wanis, KN; Madenci, AL; Dokus, MK; Orloff, MS; Levstik, MA; Hernandez-Alejandro, R; Hernán, MA",0,0,0,Application,,,,
Principles of confounder selection,https://doi.org/10.1007/s10654-019-00494-6,"VanderWeele, TJ",1,0,1,VanderWeele,,,,
A descriptive review of variable selection methods in four epidemiologic journals: there is still room for improvement,https://doi.org/10.1007/s10654-019-00529-y,"Talbot D, Massamba VK.",1,0,1,,,,,
Case-control matching on confounders revisited,https://doi.org/10.1007/s10654-023-01046-9,"Mansournia, MA; Poole, C",1,0,0,,,,,
"A Simulation-Based Assessment of Alternative Explanations for Apparent Confounding in ""PM Decomposition"" Studies",https://doi.org/10.1007/s10666-022-09829-2,"Chang, WJ; Glasgow, G; Ramkrishnan, B; Smith, AE",0,0,0,Application,,,,
Causal modelling of heavy-tailed variables and confounders with application to river flow,https://doi.org/10.1007/s10687-022-00456-4,"Pasche, OC; Chavez-Demoulin, V; Davison, AC",1,1,0,Specific heavy-tail assumption,,,,
Addressing missing data in confounders when estimating propensity scores for continuous exposures,https://doi.org/10.1007/s10742-018-0191-6,"Coffman, DL; Zhou, JX; Cai, XZ; Graham, JW",1,0,0,Missingness,,,,
The Causal Relationship between Childhood Adversity and Developmental Trajectories of Delinquency: A Consideration of Genetic and Environmental Confounds,https://doi.org/10.1007/s10964-018-0960-0,"Connolly, EJ; Kavish, N",0,0,0,Application,,,,
Sensitivity analysis for unmeasured confounding in a marginal structural Cox proportional hazards model,https://doi.org/10.1007/s10985-008-9109-x,"Klungsoyr, O; Sexton, J; Sandanger, I; Nygård, JF",1,0,0,,,,,
Low-dimensional confounder adjustment and high-dimensional penalized estimation for survival analysis,https://doi.org/10.1007/s10985-015-9350-z,"Xia X, Jiang B, Li J, Zhang W.",1,0,1,"Table 1, Table 2",,,,
Approximate Bayesian inference in semi-mechanistic models,https://doi.org/10.1007/s11222-016-9668-8,"Aderhold A, Husmeier D, Grzegorczyk M.",0,0,0,Statistical theory,,,,
A Review of the Techniques Used to Control Confounding Bias and How Spatiotemporal Variation Can Be Controlled in Environmental Impact Studies,https://doi.org/10.1007/s11270-019-4150-9,"Hatami, R",1,0,1,,,,,
Estimation of Causal Effect Measures in the Presence of Measurement Error in Confounders,https://doi.org/10.1007/s12561-018-9213-8,"Shu, D; Yi, GY",1,0,0,Measurement error,,,,
Incorporating Genetic Heterogeneity in Whole-Genome Regressions Using Interactions,https://doi.org/10.1007/s13253-015-0222-5,"de Los Campos G, Veturi Y, Vazquez AI, Lehermeier C, Pérez-Rodríguez P.",0,0,0,,,,,
High-Dimensional Propensity Score-Adjusted Case-Crossover for Discovering Adverse Drug Reactions from Computerized Administrative Healthcare Databases,https://doi.org/10.1007/s40264-022-01148-5,"Volatier E, Salvo F, Pariente A, Courtois É, Escolano S, Tubert-Bitter P, Ahmed I.",1,1,0,,,,,
Microcomputer-assisted multivariate survival data analysis using Cox's proportional hazards regression model,https://doi.org/10.1016/0169-2607(90)90054-d,"Campos-Filho N, Franco EL.",0,0,0,Computational application,,,,
Inappropriate use of bivariable analysis to screen risk factors for use in multivariable analysis,https://doi.org/10.1016/0895-4356(96)00025-x,"Sun GW, Shook TL, Kay GL.",0,0,0,,,,,
Combining ecological and individual variables to reduce confounding by indication: Case study - subarachnoid hemorrhage treatment,https://doi.org/10.1016/S0895-4356(00)00251-1,"Johnston, SC",1,0,0,,,,,
"Calculating the ""number needed to be exposed"" with adjustment for confounding variables in epidemiological studies",https://doi.org/10.1016/S0895-4356(01)00510-8,"Bender, R; Blettner, M",1,0,0,Experimental design,,,,
On Miettinen's multivariate confounder score,https://doi.org/10.1016/S0895-4356(97)00283-7,"Strauss, D",1,0,0,Fallen into disuse,,,,
Identification of confounders in the assessment of the relationship between lead exposure and child development,https://doi.org/10.1016/S1047-2797(00)00176-9,"Tong, SL; Lu, Y",0,0,0,Application,,,,
Confounders or intermediate variables? Testing mechanisms for the relationship between depression and smoking in a longitudinal cohort study,https://doi.org/10.1016/j.addbeh.2014.11.026,"Chaiton, M; Cohen, JE; Rehm, J; Abdulle, M; O'Loughlin, J",0,0,0,Application,,,,
Observational Dose-Response Meta-Analysis Methods May Bias Risk Estimates at Low Consumption Levels: The Case of Meat and Colorectal Cancer,https://doi.org/10.1016/j.advnut.2024.100214,"Pouzou JG, Zagmutt FJ.",0,0,0,Application,,,,
"Confounding, causality, and confusion: the role of intermediate variables in interpreting observational studies in obstetrics",https://doi.org/10.1016/j.ajog.2017.04.016,"Ananth, CV; Schisterman, EF",1,0,1,Biases,,,,
Using Causal Diagrams for Biomedical Research,https://doi.org/10.1016/j.annemergmed.2022.08.014,"Kyriacou DN, Greenland P, Mansournia MA.",1,0,0,Basic concepts,,,,
Confounder selection in environmental epidemiology: Assessment of health effects of prenatal mercury exposure,https://doi.org/10.1016/j.annepidem.2006.05.007,"Budtz-Jorgensen, E; Keiding, N; Grandjean, P; Weihe, P",1,1,0,,,,,
Bias formulas for external adjustment and sensitivity analysis of unmeasured confounders,https://doi.org/10.1016/j.annepidem.2008.04.003,"Arah, OA; Chiba, Y; Greenland, S",1,0,0,Biases,,,,
Time-Dependent Confounding in the Study of the Effects of Regular Physical Activity in Chronic Obstructive Pulmonary Disease: An Application of the Marginal Structural Model,https://doi.org/10.1016/j.annepidem.2008.05.003,"Garcia-Aymerich, J; Lange, P; Serra, I; Schnohr, P; Antó, JM",0,0,0,Application,,,,
Confounding by Season in Ecologic Studies of Seasonal Exposures and Outcomes: Examples From Estimates of Mortality Due to Influenza,https://doi.org/10.1016/j.annepidem.2009.06.009,"Jackson, ML",1,0,0,Temporal,,,,
Confounding control in a nonexperimental study of STAR*D data: logistic regression balanced covariates better than boosted CART,https://doi.org/10.1016/j.annepidem.2013.01.004,"Ellis, AR; Dusetzina, SB; Hansen, RA; Gaynes, BN; Farley, JF; Stürmer, T",1,0,0,,,,,
Trimester-specific association between antibiotics exposure during pregnancy and childhood asthma or wheeze: the role of confounding,https://doi.org/10.1016/j.annepidem.2018.10.003,"Bai, LJ; Zhao, DS; Cheng, Q; Zhang, YW; Wang, SS; Zhang, H; Xie, MY; He, RX; Su, H",0,0,0,,,,,
Visualization tool of variable selection in bias-variance tradeoff for inverse probability weights,https://doi.org/10.1016/j.annepidem.2019.12.006,"Yu YH, Filion KB, Bodnar LM, Brooks MM, Platt RW, Himes KP, Naimi AI.",1,0,0,,,,,
"Avoiding Systematic Bias in Orthopedics Research Through Informed Variable Selection: A Discussion of Confounders, Mediators, and Colliders",https://doi.org/10.1016/j.arth.2022.05.027,"Devick, KL; Zaniletti, I; Larson, DR; Lewallen, DG; Berry, DJ; Kremers, HM",1,0,0,,,,,
On the completeness of orientation rules for causal discovery in the presence of latent confounders and selection bias,https://doi.org/10.1016/j.artint.2008.08.001,"Zhang, JJ",1,0,0,,,,,
Variations in prostate biopsy recommendation and acceptance confound evaluation of risk factors for prostate cancer: Examining race and BMI,https://doi.org/10.1016/j.canep.2019.101619,"Tangen, CM; Schenk, J; Till, C; Goodman, PJ; Barrington, W; Lucia, MS; Thompson, IM",0,0,0,Application,,,,
The effect of the prior distribution in the <i>Bayesian Adjustment for Confounding algorithm</i>,https://doi.org/10.1016/j.csda.2013.09.011,"Lefebvre, G; Atherton, J; Talbot, D",1,0,0,,,,,
Plasmode simulation for the evaluation of pharmacoepidemiologic methods in complex healthcare databases,https://doi.org/10.1016/j.csda.2013.10.018,"Franklin JM, Schneeweiss S, Polinski JM, Rassen JA.",1,0,0,Data simulation,,,,
Causal mediation analysis for survival outcome with unobserved mediator-outcome confounders,https://doi.org/10.1016/j.csda.2014.11.016,"Luo, P; Geng, Z",1,0,0,,,,,
A causal examination of the effects of confounding factors on multimetric indices,https://doi.org/10.1016/j.ecolind.2013.01.015,"Schoolmaster, DR; Grace, JB; Schweiger, EW; Mitchell, BR; Guntenspergen, GR",0,0,0,,,,,
Bayesian geostatistical modelling of PM(10) and PM(2.5) surface level concentrations in Europe using high-resolution satellite-derived products,https://doi.org/10.1016/j.envint.2018.08.041,"Beloconi A, Chrysoulakis N, Lyapustin A, Utzinger J, Vounatsou P.",0,0,0,Application,,,,
A case-cohort study of perinatal exposure to potential endocrine disrupters and the risk of cryptorchidism in the Norwegian HUMIS study,https://doi.org/10.1016/j.envint.2021.106815,"Desalegn AA, Iszatt N, Stigum H, Jensen TK, Eggesbø M.",0,0,0,Application,,,,
"Implications of nonlinearity, confounding, and interactions for estimating exposure concentration-response functions in quantitative risk analysis",https://doi.org/10.1016/j.envres.2020.109638,"Cox, LA",0,0,0,,,,,
Assessing urinary phenol and paraben mixtures in pregnant women with and without gestational diabetes mellitus: A case-control study,https://doi.org/10.1016/j.envres.2022.113897,"Chen WJ, Robledo C, Davis EM, Goodman JR, Xu C, Hwang J, Janitz AE, Garwe T, Calafat AM, Peck JD.",0,0,0,Application,,,,
An evaluation of Hamiltonian Monte Carlo performance to calibrate age-structured compartmental SEIR models to incidence data,https://doi.org/10.1016/j.epidem.2020.100415,"Andrade J, Duggan J.",0,0,0,Application,,,,
Scope of Mendelian randomization to control for unobserved confounding in epidemiology,https://doi.org/10.1016/j.gaceta.2021.01.008,"Ancira-Moreno, M; Smith, N; Lamadrid-Figueroa, H",1,0,0,MR,,,,
Propensity score methods to control for confounding in observational cohort studies: a statistical primer and application to endoscopy research,https://doi.org/10.1016/j.gie.2019.04.236,"Yang, JY; Webster-Clark, M; Lund, JL; Sandler, RS; Dellon, ES; Stürmer, T",1,0,0,,,,,
Reducing the complexity of high-dimensional environmental data: An analytical framework using LASSO with considerations of confounding for statistical inference,https://doi.org/10.1016/j.ijheh.2023.114116,"Frndak, S; Yu, G; Oulhote, Y; Queirolo, EI; Barg, G; Vahter, M; Manay, N; Peregalli, F; Olson, JR; Ahmed, Z; Kordas, K",1,0,0,LASSO,,,,
Using computable knowledge mined from the literature to elucidate confounders for EHR-based pharmacovigilance,https://doi.org/10.1016/j.jbi.2021.103719,"Malec, SA; Wei, P; Bernstam, EV; Boyce, RD; Cohen, T",1,0,0,,,,,
Adjusting for indirectly measured confounding using large-scale propensity score,https://doi.org/10.1016/j.jbi.2022.104204,"Zhang, LY; Wang, YX; Schuemie, MJ; Blei, DM; Hripcsak, G",1,0,0,,,,,
A sensitivity analysis using information about measured confounders yielded improved uncertainty assessments for unmeasured confounding,https://doi.org/10.1016/j.jclinepi.2007.05.006,"Mccandless, LC; Gustafson, P; Levy, AR",1,0,0,unmeasured,,,,
External adjustment for unmeasured confounders improved drug-outcome association estimates based on health care utilization data,https://doi.org/10.1016/j.jclinepi.2012.03.014,"Corrao, G; Nicotra, F; Parodi, A; Zambon, A; Soranna, D; Heiman, F; Merlino, L; Mancia, G",0,0,0,Application,,,,
Reporting of covariate selection and balance assessment in propensity score analysis is suboptimal: a systematic review,https://doi.org/10.1016/j.jclinepi.2014.08.011,"Ali MS, Groenwold RH, Belitser SV, Pestman WR, Hoes AW, Roes KC, Boer Ad, Klungel OH.",1,0,1,,,,,
